,Mean,Median,5perc,95perc
OutputAnalyseCNRM1R1,2.344233402092106,2.3360595,1.7228770000000002,2.9946643500000003
OutputAnalyseCNRM1R2,2.6058615440131576,2.588062,2.0420790500000003,3.2324548
OutputAnalyseCNRM1R3,2.6765853599605265,2.667368,2.06413535,3.3188407
OutputAnalyseCNRM1R4,2.602332055789474,2.5898095000000003,2.0536928000000003,3.19390805
OutputAnalyseCNRM1R5,1.761877549131579,1.733981,1.15183605,2.46165715
OutputAnalyseCNRM1R6,2.255558555289473,2.2403015,1.72482635,2.8380017
OutputAnalyseCNRM1R7,2.1666867740657896,2.15083,1.6769184,2.70831715
OutputAnalyseCNRM1R8,2.008503888026316,2.0043585,1.51179595,2.5181003
OutputAnalyseCNRM1R9,2.1759081921578947,2.1588830000000003,1.7699538,2.6438712000000004
OutputAnalyseCNRM1R10,2.59559246925,2.5798275,2.04883105,3.1952535000000006
OutputAnalyseCNRM1R11,2.4440153732894734,2.4188910000000003,1.85623565,3.11046075
OutputAnalyseCNRM1R12,2.309586671973684,2.2897695,1.64275955,3.0427203500000006
OutputAnalyseCNRM1R13,2.444635788671053,2.424999,1.7901555,3.1631992
OutputAnalyseCNRM1R14,2.323866758736842,2.297943,1.6761418,3.0587052000000003
OutputAnalyseCNRM1R15,2.2167612097763154,2.2080695,1.68583755,2.7709561500000004
OutputAnalyseCNRM1R16,2.008887704447368,1.993066,1.43956365,2.6296452
OutputAnalyseCNRM1R17,2.535351957776316,2.5189215000000003,1.99215975,3.1358313
OutputAnalyseCNRM1R18,1.9841300447105263,1.96786,1.35585635,2.6684943000000008
OutputAnalyseCNRM1R19,2.0394715078684205,2.0084305,1.3496344500000002,2.835672
OutputAnalyseCNRM1R20,1.892017023171052,1.870887,1.4281207,2.4253755
OutputAnalyseCNRM1R21,2.5585310426578944,2.545021,1.9878858,3.17462335
OutputAnalyseCNRM1R22,2.542522608328947,2.526345,1.9272052,3.2179837
OutputAnalyseCNRM1R23,2.148175073960526,2.145561,1.69468825,2.6084875000000003
OutputAnalyseCNRM1R24,1.9935548903421052,1.985764,1.46775175,2.5444310500000005
OutputAnalyseCNRM1R25,2.514513743039473,2.497039,1.764002,3.3217672
OutputAnalyseCNRM1R26,2.337244421407896,2.3219835,1.78391735,2.9422940000000004
OutputAnalyseCNRM1R27,2.0834805015263163,2.0645535,1.61919935,2.6143681
OutputAnalyseCNRM1R28,2.041906204368421,2.0317375,1.5056817,2.6107706000000004
OutputAnalyseCNRM1R29,2.003940132210526,1.983435,1.5376194,2.53869125
OutputAnalyseCNRM1R30,2.3597881825,2.332483,1.74644265,3.0664243
OutputAnalyseHadGEM3R1,3.1695942141184203,3.16168,2.4309261,3.9341383
OutputAnalyseHadGEM3R2,2.3400197017368423,2.317146,1.64660085,3.1132755000000003
OutputAnalyseHadGEM3R3,1.6588835423157893,1.636383,1.19078545,2.2066811500000005
OutputAnalyseHadGEM3R4,1.691297917578947,1.672833,1.19820725,2.2459585
OutputAnalyseNorESM2MMR1,1.7246984666842105,1.6928905,1.05780825,2.50194645
OutputAnalyseNorESM2MMR2,1.0563559351447367,1.046423,0.6736105,1.4686780500000003
OutputAnalyseNorESM2MMR3,1.1716935574736842,1.1577229999999998,0.7153007,1.6803371
OutputAnalyseNorESM2LMR1,1.1633335236842104,1.1445455,0.71107925,1.6779678000000002
OutputAnalyseNorESM2LMR2,0.9939942196447368,0.9780835,0.61372585,1.42605835
OutputAnalyseNorESM2LMR3,0.8521445891447367,0.8356135,0.43622895,1.3230676500000005
