time,ohc
1850,-17.595666607989585
1851,-17.71585188252219
1852,-17.65936913920131
1853,-17.503673795937086
1854,-17.805364088412727
1855,-17.84572578996696
1856,-17.520284150867223
1857,-17.40184900588414
1858,-17.456195868040865
1859,-17.553631944554276
1860,-17.263649214947076
1861,-17.15725622520797
1862,-17.621730064891036
1863,-18.06804930011476
1864,-17.150651205795725
1865,-17.290467913816286
1866,-17.100507056955042
1867,-17.058110164189742
1868,-17.584778812054648
1869,-17.27911032301277
1870,-17.31734627602511
1871,-18.239873307677392
1872,-18.094094371111904
1873,-17.81487834762288
1874,-18.75679440624013
1875,-18.749289556691092
1876,-18.3453594570784
1877,-18.605963203892127
1878,-18.94748322962331
1879,-18.93761022500939
1880,-19.08070505085388
1881,-18.690476678703877
1882,-18.860307403241023
1883,-18.93092552783484
1884,-19.74533420555382
1885,-19.902130758861002
1886,-19.923688936452674
1887,-19.730752031630093
1888,-19.44760897081057
1889,-19.348055649859152
1890,-18.850275790052113
1891,-19.37188366803062
1892,-18.904442284493456
1893,-18.456673361061075
1894,-19.15798496819401
1895,-18.836022826824372
1896,-18.69224655896037
1897,-19.0472855689675
1898,-18.70508410121681
1899,-18.575292993951944
1900,-18.40933439434502
1901,-18.13695803964032
1902,-18.58315419502028
1903,-18.81305397920073
1904,-18.979766939206648
1905,-19.17335751447513
1906,-18.550822551930953
1907,-17.879511075527812
1908,-18.114106143224557
1909,-17.865814099004467
1910,-17.439052748145638
1911,-17.5002989424263
1912,-17.99371272940632
1913,-18.766184562047304
1914,-19.53491210054452
1915,-19.33800713177797
1916,-19.497615626585894
1917,-19.451735482922604
1918,-19.267014385966597
1919,-19.09115801638372
1920,-19.116904274558376
1921,-18.61833377867822
1922,-18.89777832290343
1923,-18.643899669134143
1924,-19.005920064498863
1925,-19.007540985572085
1926,-19.00001374613236
1927,-18.88426746280961
1928,-18.49818614462241
1929,-19.016210081749843
1930,-18.68388399408441
1931,-18.58558373236476
1932,-18.91044461940142
1933,-18.71279004117187
1934,-18.14212696713393
1935,-18.259414493770958
1936,-18.43600283386214
1937,-18.736738383800724
1938,-17.94394992248437
1939,-17.196051964313316
1940,-17.54319587304598
1941,-17.414657825016242
1942,-17.619216486309067
1943,-17.504805315448376
1944,-17.57218259567054
1945,-17.082819923639587
1946,-17.016618400364948
1947,-17.57352108137875
1948,-17.15218223360853
1949,-17.096363293355818
1950,-17.22593538175982
1951,-17.231076827179965
1952,-17.218063668147476
1953,-17.1526714176721
1954,-16.55575725799083
1955,-16.53151121651697
1956,-16.568367277285883
1957,-16.243022574974688
1958,-16.173319164075917
1959,-16.296211936988286
1960,-15.840749292190957
1961,-15.67695371457485
1962,-15.439163580059267
1963,-15.795657029214397
1964,-16.922960363323817
1965,-16.764001785797262
1966,-17.283987365005995
1967,-17.1193414879738
1968,-16.75461083883958
1969,-16.636515037171378
1970,-16.201250692141635
1971,-16.567418141472512
1972,-16.686667310194192
1973,-15.966374186854672
1974,-15.256747079676892
1975,-14.739716156310251
1976,-15.02051444973038
1977,-14.760784389994862
1978,-14.01636592955726
1979,-13.579826135401703
1980,-12.620770875979943
1981,-11.346348361981885
1982,-11.298461796455925
1983,-11.57286420752088
1984,-11.378789816977864
1985,-11.404330942078465
1986,-11.696321091323137
1987,-11.182993435486793
1988,-10.420946210256005
1989,-9.83528356973889
1990,-8.959471717685986
1991,-8.476199104983065
1992,-9.451828694479309
1993,-9.422197423365771
1994,-9.147449160428296
1995,-8.470871781064696
1996,-7.505946478953921
1997,-7.4595367424632855
1998,-7.270683475102718
1999,-6.726834599816478
2000,-6.6619868257334
2001,-5.735981294122464
2002,-4.890892041432335
2003,-4.942702888899049
2004,-4.246837172523567
2005,-3.9272990963972347
2006,-3.3644453172389235
2007,-2.489826861081533
2008,-1.3863030122010258
2009,-0.36369544224132516
2010,0.29699479777808646
2011,1.2766548699543625
2012,2.5248486881997767
2013,3.299445271611208
2014,4.133626101616608
