years,ohc
1851,-3.569260406494141
1852,-3.7131450653076175
1853,-4.281304740905762
1854,-4.214896392822266
1855,-3.6301345825195312
1856,-3.639357948303223
1857,-3.327608108520508
1858,-3.2759571075439453
1859,-3.2630443572998047
1860,-3.5415903091430665
1861,-3.807223320007324
1862,-4.939853477478028
1863,-5.188884449005127
1864,-5.043155193328857
1865,-4.373538398742676
1866,-4.1023712158203125
1867,-4.0617883682250975
1868,-3.916059112548828
1869,-3.810912704467773
1870,-3.8754762649536136
1871,-4.27577075958252
1872,-4.637326812744141
1873,-5.174127101898193
1874,-5.286652183532715
1875,-4.963834190368653
1876,-4.873445129394532
1877,-4.580142021179199
1878,-4.0968372344970705
1879,-4.2296537399292
1880,-4.38829574584961
1881,-4.511889076232911
1882,-4.382761764526367
1883,-4.473150825500489
1884,-6.826955318450928
1885,-8.468715476989747
1886,-8.396773147583009
1887,-8.466870880126953
1888,-8.210461044311524
1889,-7.898711204528809
1890,-7.155307388305665
1891,-7.247541046142579
1892,-7.682884216308594
1893,-7.7326904296875005
1894,-7.760360527038575
1895,-7.168220043182373
1896,-7.083365058898926
1897,-7.716088390350342
1898,-8.129295349121094
1899,-8.162499618530275
1900,-8.522211074829102
1901,-8.679008483886719
1902,-9.116196250915527
1903,-9.957367897033691
1904,-10.883394432067874
1905,-10.826209449768067
1906,-10.36319637298584
1907,-10.542129707336427
1908,-11.078930091857911
1909,-10.7007719039917
1910,-10.058825111389162
1911,-10.328147697448731
1912,-10.656499671936038
1913,-11.366699028015136
1914,-12.613698768615725
1915,-12.831370735168457
1916,-12.639524269104005
1917,-12.68933048248291
1918,-11.999422645568849
1919,-11.870295143127441
1920,-12.102724266052247
1921,-12.036316108703613
1922,-12.180200386047366
1923,-11.613885688781739
1924,-11.588060188293456
1925,-12.063986015319825
1926,-12.333308601379397
1927,-11.992043876647948
1928,-12.539912223815918
1929,-13.200305366516114
1930,-13.303607368469239
1931,-12.881176948547363
1932,-12.70408802032471
1933,-12.973410224914552
1934,-12.401561546325684
1935,-12.097190284729004
1936,-12.206025886535645
1937,-11.47737979888916
1938,-11.597283363342285
1939,-11.600972938537598
1940,-12.213404655456545
1941,-12.67272891998291
1942,-13.401375007629397
1943,-13.604289436340332
1944,-13.844096565246582
1945,-13.982447242736818
1946,-13.430890083312988
1947,-13.277781867980957
1948,-13.270403480529787
1949,-12.91253604888916
1950,-13.191082191467286
1951,-12.766806983947754
1952,-12.442144203186038
1953,-12.670884132385254
1954,-12.707777595520021
1955,-12.4864164352417
1956,-12.30932788848877
1957,-12.178355979919434
1958,-12.927293586730958
1959,-12.724379158020021
1960,-12.630301094055177
1961,-13.536036109924318
1962,-14.203808021545411
1963,-15.087407112121582
1964,-16.821401405334473
1965,-17.494707679748537
1966,-17.69577732086182
1967,-17.880244636535647
1968,-17.677330207824706
1969,-17.721602058410646
1970,-17.660727882385256
1971,-17.3231523513794
1972,-17.465192604064942
1973,-17.762185096740723
1974,-17.703155708312988
1975,-17.852574348449707
1976,-18.18830509185791
1977,-18.322966194152833
1978,-18.57384204864502
1979,-18.072090339660644
1980,-17.75849552154541
1981,-17.93373966217041
1982,-17.95218677520752
1983,-18.3746171951294
1984,-18.922485542297363
1985,-18.73617343902588
1986,-18.413355445861818
1987,-17.968789100646973
1988,-17.39140567779541
1989,-16.118580055236816
1990,-14.980416297912598
1991,-14.546917915344238
1992,-15.86401538848877
1993,-16.908101081848145
1994,-16.529942512512207
1995,-15.618673896789552
1996,-14.283129310607912
1997,-13.558172035217286
1998,-12.621077919006348
1999,-11.540098381042482
2000,-10.671256828308104
2001,-9.807949256896974
2002,-8.990758323669434
2003,-8.035217094421387
2004,-6.155493858456612
2005,-4.622569465637207
2006,-3.329452705383301
2007,-3.0748876571655277
2008,-1.9348791122436524
2009,-0.6288496017456056
2010,0.5443632125854493
2011,1.3449522018432616
2012,2.200881004333496
2013,3.816815757751465
2014,5.683626365661621
