year,ohc
1850,-4.922293514206984
1851,-4.964432725151166
1852,-4.012172424542255
1853,-2.674061550277952
1854,-1.6107039966010381
1855,-2.1839232744655472
1856,-4.146937143153119
1857,-4.134419395011974
1858,-3.76287343954486
1859,-3.526735383094977
1860,-3.881718797572285
1861,-3.942636474622929
1862,-3.7910311492016104
1863,-3.6249898484084384
1864,-3.073788173479482
1865,-3.2016411687280533
1866,-3.3144187212010676
1867,-3.8181176993061383
1868,-4.611482580256292
1869,-4.506224894992007
1870,-3.9545707450110266
1871,-3.1891845743310046
1872,-2.416406370876471
1873,-1.6464126231526177
1874,-1.0363827904474792
1875,-2.5227725051178753
1876,-3.3775962400171373
1877,-2.962469503677019
1878,-4.398841621211393
1879,-4.9115395537870565
1880,-3.858551969394725
1881,-2.9206652591941933
1882,-4.3164174599771465
1883,-5.153797788629429
1884,-7.319384523495719
1885,-8.222909263120359
1886,-7.196624302685218
1887,-6.634194036159502
1888,-6.005059694873385
1889,-6.485179904605674
1890,-6.9849583911531266
1891,-6.4611236497996
1892,-6.353246444764082
1893,-6.176236576435631
1894,-5.737702600766217
1895,-5.594457493683227
1896,-5.275409410325127
1897,-4.991551529473962
1898,-5.044370892065608
1899,-4.172353028453841
1900,-4.034824732515259
1901,-4.553287388368479
1902,-4.3197741322284235
1903,-4.177640149766919
1904,-5.58430353029551
1905,-6.875255527038849
1906,-7.120147071448976
1907,-6.087763157360162
1908,-4.79538615814295
1909,-4.0244423709031265
1910,-3.517617319271918
1911,-2.8457295670061087
1912,-3.2698713992075796
1913,-4.5443505510100195
1914,-4.93477737115977
1915,-5.459253501499113
1916,-5.822637335122741
1917,-5.139376167708295
1918,-4.43532161547807
1919,-4.388407004542929
1920,-5.134045693517599
1921,-6.434331288376274
1922,-8.116921976065974
1923,-8.067274545510465
1924,-7.393005294238776
1925,-7.011892215718429
1926,-6.00573199830537
1927,-5.075201962815348
1928,-4.290379643002279
1929,-3.8882854191544207
1930,-3.422906103110945
1931,-3.539421701191452
1932,-4.217995391945299
1933,-3.0935600455859884
1934,-2.881578010991894
1935,-3.6131877440527718
1936,-4.63436737188845
1937,-3.929702068842232
1938,-2.882395881266234
1939,-1.9494482170347096
1940,-2.1650253281413465
1941,-2.2512274037901046
1942,-2.2458331043409863
1943,-2.7983555513778327
1944,-3.1479396985822774
1945,-1.8930307346094675
1946,-1.1325620568557726
1947,-0.7966588762647051
1948,-0.8915635348973967
1949,-0.9285164314516421
1950,-0.6666139288950954
1951,-0.2627088128047763
1952,-0.8500939878907143
1953,-1.542977429463071
1954,-1.5458727268784838
1955,-2.3407967234635176
1956,-3.0904949075955575
1957,-3.308029887044807
1958,-1.9248346408401624
1959,-1.0022099333014576
1960,-1.2424597970812337
1961,-1.3663732301518836
1962,-2.5646067094646194
1963,-4.6309647681883215
1964,-7.264446578537685
1965,-8.249459767369233
1966,-8.611892180301307
1967,-9.040115084991726
1968,-7.61376796519893
1969,-6.478304142836189
1970,-5.844570455185716
1971,-5.2263011276636835
1972,-4.360402718563747
1973,-3.8432195571830956
1974,-3.4243098410058845
1975,-4.03719809436887
1976,-5.4783289445211345
1977,-5.279265147238068
1978,-5.350607588254095
1979,-5.933039308655974
1980,-7.427489361186321
1981,-8.4014920353031
1982,-9.203252749199137
1983,-9.174603419124198
1984,-8.603122963988719
1985,-8.08116550399447
1986,-8.16283739075981
1987,-8.669947690304085
1988,-7.541676436133052
1989,-5.390729476265913
1990,-3.7267379427014653
1991,-4.611174372021869
1992,-6.97919670934807
1993,-6.403856472117344
1994,-5.305547404731188
1995,-5.742941687254392
1996,-6.388720368941685
1997,-7.9421916742708225
1998,-9.55629350251423
1999,-9.562121710576125
2000,-8.32060638819216
2001,-5.259386878191659
2002,-2.832853872998851
2003,-1.4132179344641491
2004,-0.7764434642152631
2005,-1.9871704485407005
2006,-2.8297535195854358
2007,-3.718367670002751
2008,-3.1217367183548568
2009,-1.2936587861083035
2010,-0.08770600970393616
2011,1.0266757710762668
2012,2.933567390834159
2013,4.589855962692818
2014,4.488294027692742
