time,ohc
1850,-1.7335070465358369
1851,-1.731138106365274
1852,-1.9726402504672642
1853,-2.0501171014941706
1854,-1.9257007466092053
1855,-1.8818312132366548
1856,-1.900887655286759
1857,-1.766234793208221
1858,-1.6100930248795888
1859,-1.5535939148676208
1860,-1.6297094469824707
1861,-1.5563337479801858
1862,-1.5879355671845978
1863,-1.4027911917617162
1864,-1.294583568618376
1865,-1.3113129043015435
1866,-1.26101607502609
1867,-1.361701716818139
1868,-1.3944048981459334
1869,-1.3343415524951825
1870,-1.4283498790521096
1871,-1.5145462830328436
1872,-1.5692188924038932
1873,-1.6934417003213575
1874,-1.669290184334237
1875,-1.5436338672341796
1876,-1.4411723277619721
1877,-1.614735209385922
1878,-1.8856492879692532
1879,-2.3182764671039844
1880,-2.48393031718534
1881,-2.4436544072551776
1882,-2.3938406976532742
1883,-2.3470371798566876
1884,-2.46659192216001
1885,-2.536866912559417
1886,-2.3853194706039527
1887,-2.338244872300205
1888,-2.543625185230298
1889,-2.8046283079776417
1890,-3.016315784868029
1891,-3.119560990534544
1892,-3.355292132360457
1893,-3.3437032694311606
1894,-3.265272057116026
1895,-3.214312308486781
1896,-3.0499491006651938
1897,-2.874385663115675
1898,-2.7709024462117173
1899,-2.8761129142013653
1900,-3.038483178865675
1901,-2.999439050641037
1902,-2.9154115535570604
1903,-3.13106125522405
1904,-3.455422780752416
1905,-3.6381079256379003
1906,-3.680331607542816
1907,-3.817559795111812
1908,-3.792012896121473
1909,-3.879822378861937
1910,-3.893823038126232
1911,-3.9363002813032253
1912,-4.2152070691834576
1913,-4.29401384316761
1914,-4.322098987069093
1915,-4.298273565093821
1916,-4.374970478468312
1917,-4.525570533914956
1918,-4.7331769049839485
1919,-5.006037452568475
1920,-5.261858717326408
1921,-5.361840068973727
1922,-5.262054835467536
1923,-5.0480651402093875
1924,-5.032584868979569
1925,-5.157125249920265
1926,-5.3868767554744075
1927,-5.512704258700342
1928,-5.692710881671072
1929,-6.028509494509102
1930,-6.218818746587438
1931,-6.247733155136965
1932,-6.429903126247011
1933,-6.330486065773309
1934,-6.395742841696294
1935,-6.2799489124617764
1936,-6.329837928061802
1937,-6.267843432009984
1938,-6.16680758498151
1939,-6.128138534322446
1940,-6.0565245977333
1941,-6.169659833699384
1942,-6.370213497260365
1943,-6.63555460929825
1944,-6.644353190321199
1945,-6.716169351998362
1946,-6.795509260716847
1947,-6.912733786731441
1948,-6.7442755089135735
1949,-6.766822754967952
1950,-6.737075129123944
1951,-6.726678605261026
1952,-6.379757493492119
1953,-6.232798318031573
1954,-6.156047376395006
1955,-5.894602303736774
1956,-5.930633002483116
1957,-5.981081773440128
1958,-5.720151609939783
1959,-5.6779090510746695
1960,-5.591468657812375
1961,-5.44934460072388
1962,-5.329019005034009
1963,-5.298442936368646
1964,-5.414375906373462
1965,-5.496831157703944
1966,-5.4692613483289385
1967,-5.456758583556127
1968,-5.327079381980113
1969,-5.267292750242252
1970,-5.129767573594261
1971,-5.117117600290176
1972,-5.104963990236261
1973,-5.081626949101721
1974,-5.037604541609802
1975,-5.067846137686264
1976,-5.1543370375513184
1977,-5.071516970189832
1978,-5.098509320020977
1979,-4.9867797401767
1980,-4.944628396739595
1981,-4.962697047152643
1982,-5.080503103553683
1983,-5.055984047599637
1984,-4.973626548862548
1985,-4.81708317162756
1986,-4.854423150749689
1987,-4.695903547066261
1988,-4.650169906853655
1989,-4.570668625174785
1990,-4.377167845184065
1991,-4.233322600711735
1992,-4.335137884980451
1993,-4.276705687784396
1994,-4.074950753096394
1995,-3.6497224358783122
1996,-3.2865099622003657
1997,-2.904271048771555
1998,-2.667483845962706
1999,-2.275857016272239
2000,-1.7126728351659743
2001,-1.36437923143988
2002,-1.1252529404070528
2003,-0.9787906282814636
2004,-0.8647312383952251
2005,-0.6884942387501137
2006,-0.6999242466574142
2007,-0.680222016966844
2008,-0.574002360620346
2009,-0.3914379382594088
2010,-0.19374549696215937
2011,0.1398345474787793
2012,0.664920144748587
2013,1.1087770762609654
2014,1.3142945297279542
