years,ohc
1851,-8.092217413038014
1852,-8.23241249665618
1853,-8.06270281419158
1854,-7.653185239881276
1855,-7.4945426617562765
1856,-7.627359357923268
1857,-7.841341940015553
1858,-7.686389318555593
1859,-7.483475271314382
1860,-7.715903917402028
1861,-7.85978829011321
1862,-8.243480936139822
1863,-8.501734939664601
1864,-8.42794858559966
1865,-8.538628760427235
1866,-8.682513067573309
1867,-8.486977926343679
1868,-8.475910082906484
1869,-8.51280348047614
1870,-8.601347350031137
1871,-8.143868509382008
1872,-8.095906749814748
1873,-7.815516105741262
1874,-7.575708833783864
1875,-7.453959909528493
1876,-7.155123106092214
1877,-6.907936636060476
1878,-6.970655599683522
1879,-7.011238447278737
1880,-7.077646509259939
1881,-6.952208582013845
1882,-6.531622949689626
1883,-6.2844366703927514
1884,-6.424631944745778
1885,-6.572205892652272
1886,-6.664439645856618
1887,-6.671817842572927
1888,-6.638614050000905
1889,-6.58327404603362
1890,-6.845217958539724
1891,-6.930072561353445
1892,-6.82308174714446
1893,-6.959587589353323
1894,-6.800945631116628
1895,-6.889489904493093
1896,-6.61647774323821
1897,-6.36929175004363
1898,-6.081522718518972
1899,-6.1073475514352324
1900,-6.435700193494558
1901,-6.424631563276051
1902,-6.457835785001516
1903,-6.26230055436492
1904,-6.476282754987477
1905,-6.760362497419118
1906,-6.830459967702627
1907,-6.59065291032195
1908,-6.741915527433156
1909,-6.782498375028371
1910,-6.568516174405812
1911,-6.424631610959768
1912,-6.206960645765066
1913,-6.037250104993582
1914,-6.026182046979666
1915,-6.114726606458426
1916,-6.468903795331716
1917,-6.642303196042775
1918,-7.077646223157643
1919,-7.140365806668996
1920,-7.221531287282705
1921,-7.21784173592925
1922,-7.3137651358544815
1923,-7.310075465291738
1924,-7.269492927640676
1925,-7.025995651334523
1926,-6.767741600126027
1927,-6.919004312604665
1928,-7.121919098943471
1929,-7.140365210622548
1930,-7.273182383626699
1931,-7.586776552051305
1932,-7.667942730039357
1933,-7.494543216079473
1934,-7.14774405106902
1935,-7.317453971952199
1936,-7.051821294873952
1937,-6.55006977662444
1938,-6.251232687085867
1939,-6.125794283002616
1940,-5.745792070478201
1941,-5.742102113813162
1942,-5.838025060743093
1943,-5.672005048841238
1944,-5.439575449079275
1945,-5.410061040967703
1946,-5.3436523114144805
1947,-5.107534757703544
1948,-4.7238420163095
1949,-4.701705709546805
1950,-4.86403738602996
1951,-5.10753399476409
1952,-5.520741430372
1953,-5.432197443097831
1954,-5.185010400861502
1955,-4.937824693769217
1956,-4.775493303388357
1957,-5.0042322789132605
1958,-5.048504797071219
1959,-5.185010782331229
1960,-4.978406778424979
1961,-4.771803823560477
1962,-4.517238203138113
1963,-4.314324632734061
1964,-4.314324251264334
1965,-4.122477880567312
1966,-4.12985655412078
1967,-4.155682722181083
1968,-3.9896620427072054
1969,-3.9970401440560823
1970,-3.8125727330148225
1971,-3.720338884443045
1972,-3.6502418194711215
1973,-3.3809195195138457
1974,-3.277617231458426
1975,-3.1079069767892364
1976,-3.344025865644217
1977,-3.2849962387979037
1978,-3.122665086835623
1979,-2.930818239301444
1980,-2.8644104157388215
1981,-2.705768409818411
1982,-2.930818239301444
1983,-2.919750419706107
1984,-2.646738639920951
1985,-2.823827496618033
1986,-2.75373004719615
1987,-2.6356706295907504
1988,-2.274114624112845
1989,-1.8535289679467681
1990,-1.7539164219796661
1991,-1.8978010271489625
1992,-2.1080937539041047
1993,-2.362659088224173
1994,-2.5618836079537872
1995,-3.0488775883615022
1996,-2.9529547367990023
1997,-2.9787802372872836
1998,-2.650428167432547
1999,-2.429067293256521
2000,-2.362659040540457
2001,-2.469649950116873
2002,-2.2556676541268827
2003,-1.7686735783517364
2004,-1.4772153054177763
2005,-1.064008155912161
2006,-0.7061413501203062
2007,-0.6840053547918798
2008,-0.3999252949655057
2009,0.07968996420502653
2010,0.2530893649160861
2011,0.37114852324128145
2012,0.44124606505036346
2013,0.7142579402029514
2014,0.9946482981741428
