year,ohc
1850,-6.236003568599975
1851,-6.170644493215454
1852,-6.0698263014258185
1853,-6.398083439722527
1854,-6.471082499016746
1855,-6.372869654235049
1856,-6.453789698113848
1857,-6.579203185765453
1858,-6.549924467911913
1859,-6.479591787440762
1860,-6.291718942148848
1861,-6.390311500604882
1862,-6.274779124459458
1863,-6.34037994075195
1864,-6.493045276601993
1865,-6.267944340100206
1866,-6.061409421195425
1867,-5.8906766733467535
1868,-5.925068086693116
1869,-5.991405127601534
1870,-6.002216841189124
1871,-6.138044057537046
1872,-6.111019796027234
1873,-6.402986922066961
1874,-6.453537929357467
1875,-6.4075136724751545
1876,-6.463069068978844
1877,-6.35386408273056
1878,-6.378865342227371
1879,-6.467407441997739
1880,-6.4721718200683895
1881,-6.733330420084954
1882,-6.678462351197116
1883,-6.64848039230352
1884,-6.225287231447597
1885,-6.056624050781484
1886,-6.103561858958687
1887,-5.9403067336011
1888,-5.559467815078761
1889,-5.634288376751466
1890,-5.70268385976389
1891,-5.578223445325147
1892,-5.515124606100871
1893,-5.5631287463832635
1894,-5.847048347931388
1895,-6.014288488751885
1896,-6.122037837411056
1897,-6.077989223002522
1898,-6.063322701554956
1899,-5.710914067933777
1900,-5.521902578117072
1901,-5.58534952765676
1902,-5.610760937165191
1903,-5.860573603137405
1904,-5.953287672799521
1905,-5.931439182081252
1906,-5.804370427296628
1907,-5.717848220505205
1908,-5.740370440024538
1909,-5.630642773449944
1910,-5.657016879151979
1911,-5.3433083381826725
1912,-5.397836933047849
1913,-5.500900206593891
1914,-5.411124697013314
1915,-5.510870457555577
1916,-5.8055415618952395
1917,-5.555219835164784
1918,-5.58903974195208
1919,-5.708135326691443
1920,-6.091138700799574
1921,-6.18665044433218
1922,-6.186872152619328
1923,-5.868329551933753
1924,-5.804493450718074
1925,-5.830621129118705
1926,-5.846036753514503
1927,-5.632197968765808
1928,-5.610501505128874
1929,-5.811618059181839
1930,-5.744287990663431
1931,-5.7284515188599965
1932,-5.698182213034097
1933,-5.702527356598206
1934,-5.819607002436083
1935,-6.04335497516018
1936,-6.0800943547545465
1937,-6.05891521278159
1938,-5.98278325943978
1939,-5.856555904292787
1940,-5.628329503033527
1941,-5.563235922241254
1942,-5.283958064583193
1943,-5.2696795585763025
1944,-5.204230405138175
1945,-5.117851244163564
1946,-4.993252030799161
1947,-4.887876604737659
1948,-4.727673664353871
1949,-4.535632100247423
1950,-4.102719109184939
1951,-3.695595404557305
1952,-3.4998710371387873
1953,-3.1508772470086646
1954,-2.9349720399418002
1955,-2.6427303825611945
1956,-2.5002721371091523
1957,-2.488223482849662
1958,-2.6441753314266894
1959,-2.4573937039539295
1960,-2.2029802314109412
1961,-2.1796430907342277
1962,-1.9747133777170172
1963,-2.244164926826959
1964,-2.463632188137993
1965,-2.6762901758623547
1966,-2.6575865258390623
1967,-2.604085577161025
1968,-2.6857246582549115
1969,-2.7316353657264374
1970,-2.6116557708620753
1971,-2.4179710450669596
1972,-2.244649614216166
1973,-1.9234593203029053
1974,-1.7380846900177112
1975,-2.086946036028296
1976,-2.421283745178491
1977,-2.4875175481160694
1978,-2.593952768146816
1979,-2.6372840009298955
1980,-2.839519550245302
1981,-3.0916651661465973
1982,-3.5726421898002396
1983,-3.613100633734295
1984,-3.2726449518222434
1985,-3.255948904368202
1986,-3.511237520313288
1987,-3.451498915355956
1988,-3.515825793537272
1989,-3.661892433525427
1990,-3.3710378795386515
1991,-3.15941758095438
1992,-3.1895706953530025
1993,-3.1111263933978353
1994,-3.2396793660232777
1995,-3.20593384867428
1996,-3.200540659532619
1997,-3.1352121974517764
1998,-3.1566964388656187
1999,-3.159840337237897
2000,-2.81840084258537
2001,-2.850294768801712
2002,-2.623946501490532
2003,-2.4250009508624926
2004,-1.913322813713556
2005,-1.52186153465831
2006,-1.0917012084493098
2007,-0.7484021319083958
2008,-0.329057337877126
2009,0.07090207024630857
2010,0.4109288761580485
2011,0.6525456317962419
2012,0.7221791083866442
2013,0.8496496228646322
2014,0.9848169034412626
