Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,0.14540157,7.393625,11.230445,4.1572566,-19.926624,4.0957875,19.083206,4.157724,11.962281,15.1084,5.5767083,4.1404767
1851,14.002763,5.6623244,5.598309,-18.066597,-9.868779,-12.517497,-19.073479,-11.684903,-6.9128976,-10.56244,-10.966601,1.0089244
1852,-8.623401,-5.813654,-19.023613,18.927177,-12.29207,10.573587,-6.287837,12.262827,11.620764,15.157094,14.720588,0.5000018
1853,5.151761,5.041764,8.714586,16.732222,20.675749,-9.770493,5.25489,-8.462505,-5.320938,8.413034,8.19876,5.3908243
1854,8.584366,2.3647876,-14.981016,-2.143225,13.730032,-1.9155563,7.840841,-7.3324842,-8.151629,10.7301235,-8.5853405,-0.95701486
1855,3.9130473,-2.8671417,4.984093,-12.2102,-11.963177,1.856284,-12.1757555,-4.1135592,-7.8520703,1.4830053,-2.5389454,1.9125847
1856,11.758927,4.1073713,7.072713,2.4939296,-12.082105,-3.7612867,-10.056024,4.7797813,3.020868,11.9935665,2.488446,-5.2133636
1857,-4.6518173,10.033409,9.832165,6.440286,-7.0034533,-2.3366923,-8.035401,-2.2141502,-4.821347,-11.523879,1.1733218,-1.0479492
1858,-11.122158,15.15836,-9.411205,1.624861,-4.789601,-10.05182,-6.902721,-10.322229,-14.4238405,-10.836988,-8.329693,-3.5279777
1859,5.5211377,-4.30634,-25.892744,5.750549,1.7514454,-1.2468692,16.776379,16.386562,9.395534,12.644196,16.400995,15.859128
1860,21.682684,13.305037,20.117783,10.136215,22.95959,19.995493,4.6789417,15.247116,9.513113,27.23103,7.7971015,-0.5968941
1861,5.063839,3.025465,8.606587,-4.561018,-7.331821,-14.831394,-12.853847,-8.899533,-10.756432,-20.636831,-0.59571755,-7.3632383
1862,-9.099429,-18.346884,-19.017904,5.9176774,11.922956,13.781919,5.724649,-1.4070628,19.363451,6.524863,19.825851,17.470112
1863,12.624622,12.386942,18.251347,7.9412594,14.520957,19.602575,16.309654,3.542115,4.6216087,11.973364,13.681603,7.4843817
1864,3.0374677,6.8211217,-1.7751361,8.925461,-8.797374,-2.7022471,-6.28986,-24.44502,-14.79024,-0.30156267,-14.799776,-3.8162808
1865,-6.703681,-17.347717,-0.9820316,-14.969149,-22.450426,11.929774,-6.616011,12.71424,-5.726856,2.3574176,14.198022,7.548449
1866,13.980392,11.043857,9.014796,3.5030677,-6.629829,-0.17158256,4.4862847,1.3614409,6.0642757,10.18517,-2.817135,-2.3303306
1867,4.778222,-4.4726586,-0.89924806,-5.1324387,-4.680671,-13.937388,-10.514658,-7.639048,-1.931622,-5.3858976,-17.125195,-2.1060946
1868,-6.4518805,-6.0706534,5.559772,-21.514221,-8.217467,0.35088274,0.9775022,-7.1424937,-2.3648612,-4.502161,-17.092918,2.732544
1869,-5.047727,-9.765182,-11.376601,-3.2176228,7.2758136,11.140518,9.903938,-0.82468987,7.19421,10.544673,23.2379,21.447975
1870,12.081482,10.775575,10.661903,8.271273,8.979749,2.1491554,4.5808434,10.766218,10.881134,6.6947722,5.9491644,10.538433
1871,9.001606,13.011681,12.504551,2.985765,7.8457217,1.0811371,5.9056754,-9.621299,14.692957,2.709151,-2.1285777,-4.781942
1872,-17.97072,6.1558475,-2.1024642,-1.1887351,6.9716525,-2.9049056,-4.1746793,-13.96082,-13.431489,-20.701584,-12.04196,2.2628887
1873,-13.727567,-13.944038,-11.895187,11.727916,13.154336,4.578918,15.104664,14.185551,11.48806,8.618169,9.489805,2.6302428
1874,18.283375,11.5369625,5.469852,0.41835198,10.420042,2.8597422,-8.23261,10.26123,-10.352954,5.9306974,-7.5740213,1.2858608
1875,1.6265514,-1.846247,19.958876,-6.3219695,3.9179368,0.68308854,-17.467499,-9.029005,0.38630533,-7.7465005,1.6323601,4.5951486
1876,-2.7175305,9.213935,9.4815235,11.867455,-3.1361842,1.254722,11.81382,12.609572,1.8748333,7.0708528,17.43127,13.16003
1877,-4.8063316,24.363127,5.156321,4.341894,-2.660998,-4.844697,-3.9258938,11.36248,14.85103,4.7211285,1.4699548,-1.3207524
1878,6.802512,3.1763217,12.54166,9.857667,-19.897156,5.1133547,3.43097,-8.403971,2.2178144,-15.625019,-17.014534,-7.7119923
1879,-17.561285,-4.207301,-10.162918,-6.115579,-2.286848,-1.3691483,-7.0797024,0.57717204,-2.3648612,6.436282,13.049913,-6.5153785
1880,3.455748,1.4579756,-9.762797,-5.183373,-4.730663,-5.0888276,-17.023022,-10.091066,-4.7208433,-2.7295074,-11.056769,2.0283194
1881,16.43909,-5.2378078,3.426906,-15.6647215,-7.9148846,-10.502029,1.4179331,0.021586305,-10.9413395,-5.328916,-20.954271,1.4666963
1882,-9.129084,1.5072861,-15.037632,0.63163984,-13.420309,6.984739,23.207378,18.445704,19.460539,9.673369,-0.064442195,7.4838653
1883,-1.2197326,7.218949,-6.2364087,-12.586372,1.8724785,-8.339485,7.3877683,-13.404738,-16.382198,-4.7311244,-10.024959,-22.714098
1884,-7.141731,-15.964098,-1.2784348,-0.1376821,0.9142126,3.237696,11.850734,12.638344,23.988085,0.27188194,9.04255,22.326319
1885,12.26409,9.93646,1.4401009,9.196051,5.4829464,7.1245475,1.0447551,5.9217086,3.7624488,0.9701686,7.4430885,-6.9431834
1886,3.3647044,-13.446754,7.5313525,0.7621593,5.0993247,9.738156,8.202389,11.3862915,-2.59319,-9.840842,-4.646116,4.168377
1887,6.9861603,7.518573,16.958687,-0.31117746,-4.7001414,6.097146,-8.633093,-7.3012323,2.7110631,-1.4878212,0.13536243,12.749792
1888,11.422847,5.9878573,10.683312,-3.4797227,4.2573557,20.056633,-1.1705463,-8.848935,-10.854984,22.196943,-14.100972,0.4628014
1889,10.776176,-7.1930947,10.938324,3.1422822,-15.3715725,-1.231905,0.27058795,-3.116481,3.1613781,-15.038106,4.978319,-10.288121
1890,-3.452643,-6.2236,13.484156,-2.3336983,1.5456893,-4.1221385,14.31027,8.347436,19.111704,16.353714,-2.7285037,5.5876765
1891,4.426013,12.900105,8.522852,-9.308,-1.800611,-6.4206433,-12.35577,-16.088417,-14.637045,-5.1351776,-9.141207,-3.497494
1892,-6.480494,-1.8065478,-6.905813,3.8856065,6.5217257,0.17088446,23.073378,3.001411,5.9427934,5.6162615,5.3656325,13.385816
1893,4.8312874,17.847872,10.276531,-4.2639008,-11.779522,-5.4548097,-2.842262,-14.740624,-6.9675403,-8.707939,-5.4509697,0.073746935
1894,0.27910563,3.6272204,-10.627267,-16.592152,-9.636185,13.866573,0.28929743,8.019541,8.909603,-2.9056332,-6.2660704,-5.47635
1895,-9.70812,-2.3410237,-14.04756,18.775965,22.012375,26.21334,16.215096,6.6623244,8.849594,8.8445425,17.332905,24.314474
1896,12.9690275,13.121167,-9.489231,0.914432,-10.750741,-4.9473085,8.847106,7.336964,1.6191832,-3.3827267,-1.2330431,1.5400637
1897,0.4325792,-7.3803077,-8.696127,-8.780617,-20.383919,10.076776,-17.753702,-3.0971348,-2.8888464,-5.5428567,-14.746495,-5.7434697
1898,7.895556,-18.227785,1.1898472,-0.7733012,-15.46682,3.0555599,14.175764,13.919663,4.1054296,-0.23266645,-0.61057484,8.601428
1899,15.299745,4.8633265,1.822618,9.397666,-4.527012,-6.554894,1.8841527,4.707853,2.8749914,12.7110195,-5.699957,8.448493
1900,0.2650589,10.134538,10.102401,-6.748545,1.2967823,-4.406031,-14.855252,-21.294056,-18.572302,-19.860325,-18.9552,-15.259545
1901,-12.552844,-10.843744,2.6842332,2.8472872,3.6548214,-4.4090242,-2.2865403,-8.258129,-11.73805,-0.41708043,-2.0414832,-0.3757582
1902,4.2101097,2.652711,4.3670225,-3.9943726,-1.0828325,17.577702,-1.0279498,4.1071258,7.835287,8.400084,11.374117,16.40835
1903,14.477751,12.003323,17.09095,-6.1378627,0.72582203,-1.760356,-11.357595,-6.84337,4.415723,-7.489564,2.8942032,7.220362
1904,-8.081821,-7.7459574,2.4316006,-12.856431,-4.2339015,18.35926,-6.7854075,-5.6895375,-2.3390036,9.026884,-1.6987416,11.564029
1905,-0.965851,6.2603188,-12.800573,0.14723231,-2.64258,-10.537944,-6.083044,-14.364613,-6.4903917,-6.411053,-2.8007407,-2.0384107
1906,-4.2735963,6.71665,0.011846798,-4.3880534,-8.896305,8.738118,16.881557,6.2704377,9.577514,14.031961,11.338254,7.6151
1907,5.4935646,4.621371,10.674273,2.6966062,-1.9800557,-4.2841797,10.205312,8.356364,14.854445,2.2988818,7.59576,-12.979986
1908,4.0862904,0.11405506,3.447364,-7.8139234,-31.807858,-8.561383,-10.042371,-8.749228,2.516886,-6.226121,-9.715005,-7.451589
1909,0.67345464,2.4249632,19.37844,-4.2506366,-6.638775,10.246512,6.55899,-5.263423,9.256488,14.180115,17.99892,16.682703
1910,19.894066,-4.8057137,9.484379,-5.004572,0.38850823,4.553693,21.544764,8.564214,15.526747,3.4540594,-18.883987,-10.084553
1911,-6.4149427,-12.309688,-9.622446,3.0685334,-4.0981336,4.8538322,-16.55832,-11.576266,5.78228,-2.3876164,-2.3893483,-7.9165945
1912,-11.442112,0.103607915,-7.8426,5.6163154,-5.7720733,8.325106,-2.0372496,-5.751545,5.4871116,-9.399492,6.2714133,-0.677495
1913,-2.8132565,-9.692887,-18.209099,1.7330967,-1.5485466,-8.514353,-18.566805,-10.318261,-15.716728,-7.388033,-7.286098,-6.1903915
1914,0.5621213,-14.531168,1.1793803,-15.277408,-0.5787036,-2.5748374,-16.799015,-7.975376,-9.1108055,2.1015174,-6.507373,-4.707541
1915,4.2470474,4.422457,-11.4784155,-15.866337,-6.654562,-5.3162837,-1.0946971,-14.117079,-5.084803,-20.575188,-16.303434,-14.253584
1916,-14.404932,1.6510388,-16.087175,-6.536849,-19.761387,-10.30664,-8.441954,-4.689979,2.0090008,2.4206157,12.946938,2.434424
1917,5.5872097,2.5189874,4.177667,-0.94785774,-4.429133,9.159255,-7.1059966,-0.5211019,-5.7839384,3.8068287,6.33904,0.90300643
1918,5.7604527,0.49934572,-6.725022,-0.14776288,-5.929416,-1.7577907,1.6292994,-5.911772,-13.655914,-15.665424,-3.8197443,-6.585646
1919,3.948424,8.398222,3.701424,9.3217945,-12.0542145,13.274417,-12.545393,-16.039307,-3.866074,-3.6168704,9.313055,-12.120243
1920,-21.013659,-4.677005,-0.77935463,-4.3806252,2.6391964,0.61895615,-9.329894,9.740865,7.0888276,15.735201,20.365837,7.7122345
1921,-10.830819,9.626389,12.437943,12.764112,13.807914,4.3146925,-9.077064,-11.479535,-2.6405146,-12.573899,5.1730003,0.3889172
1922,3.4796796,1.5774909,-2.2818286,-20.762407,-14.872179,-10.478086,-4.5812306,-10.594566,-0.23476844,-19.802307,-16.14564,-15.08181
1923,-4.0087895,-6.4668093,4.567321,-11.523116,12.504967,-1.7958425,13.440533,14.481201,22.607866,1.041655,5.1217685,11.38371
1924,-0.8508759,-16.632298,14.811071,-6.423838,0.5458512,-9.179192,11.394628,10.404592,17.388504,14.001399,4.6171336,-8.515935
1925,1.1427195,-4.0815177,-8.082387,-2.560781,3.5879903,-3.4872277,-10.785187,-2.505833,-6.3459783,-13.33901,-14.363792,-14.1078825
1926,-13.053324,-10.074835,1.7650502,-23.645508,-7.300247,-2.9215798,7.8130293,2.968671,24.476942,9.234091,18.160301,5.754562
1927,9.171727,3.9138901,1.4610348,-3.68293,1.7693373,-1.8668157,-5.7427344,-2.802972,11.1885,6.5823627,9.02257,-3.3734925
1928,-11.724607,2.736288,-0.2945475,-3.141221,-18.143755,-7.7828155,-2.6329184,-6.80815,-1.0558739,-23.287523,-2.1029615,-4.7147746
1929,0.7504515,-2.3945131,2.545309,19.100142,1.3378283,11.00413,8.2529545,6.145431,-3.9304745,5.7369595,9.771581,-0.1649558
1930,1.360704,-7.125397,5.376126,-13.559963,-1.5243399,-14.277718,-2.159114,-6.811126,-14.331143,-2.9817817,-0.5475595,9.184235
1931,-3.5005057,-1.0380559,-15.101861,-11.681756,-1.6758944,-9.185178,-11.883988,-6.683143,1.9070336,9.564586,10.201417,7.242579
1932,-2.3819697,0.87293553,-4.227718,-1.5781711,-1.1959721,-7.23598,7.1581984,4.7103333,-6.816297,-7.394767,-2.4088163,-3.7051964
1933,4.4707546,2.432903,-8.158033,2.9555228,3.2248912,-11.271618,-22.60451,-23.023813,-18.172237,-9.124425,-18.79382,-11.809206
1934,-18.578371,-9.986243,-19.596437,5.041181,14.795649,11.77714,15.48037,18.58708,13.902588,26.65655,18.829903,5.344324
1935,4.826605,6.0898213,-2.401246,11.335827,-4.838014,7.1262574,1.3193291,-10.79299,-5.2701983,-5.6666627,-2.5507288,6.652539
1936,17.406235,4.699097,13.483681,-0.9308796,0.09434533,12.586062,-7.8472958,6.8344564,10.914799,15.056599,16.952251,-4.9798274
1937,15.092685,15.4153595,4.62584,1.5081363,16.769014,2.7562754,10.087998,-6.23421,-3.4186864,-0.82424164,-12.700803,10.714619
1938,-0.89509714,18.329695,5.8419023,9.911785,10.743673,18.944576,-8.128949,-9.780534,-2.53562,-18.58963,5.1827345,-8.899305
1939,14.189532,-3.53952,4.702439,-28.387714,-22.154684,-17.917446,-18.257341,-4.248487,-15.380577,0.8981643,-2.7915192,-6.1097903
1940,-4.9358735,8.206412,0.22927256,9.269268,-2.314212,22.715134,10.28015,-8.410419,-12.300578,-5.9365497,3.8645363,7.768035
1941,-12.9138975,-17.582151,-5.521806,-10.546873,-9.364123,-4.09392,-1.4557391,4.731168,-0.18646811,-0.78694445,2.8147936,-6.8408823
1942,-0.14853932,4.9694695,12.967473,7.343311,1.0878687,-12.943764,-10.270929,1.8322005,4.424017,6.0265307,-8.114006,-6.7551146
1943,-1.5672592,3.3831751,-5.2934375,-1.2486892,-3.4340308,-3.3003886,5.926408,10.808879,-1.9369887,10.195012,15.585896,9.979394
1944,16.270529,18.927689,5.999857,12.665957,-16.500862,1.9546204,9.283492,6.0749907,-7.2105055,7.4039373,8.835061,-4.143335
1945,-6.9471574,-7.0664754,1.2117325,-10.274162,-11.691115,-9.065891,5.4268146,-0.06175156,-10.504684,-15.317835,-12.521491,3.2238996
1946,-0.45496616,-13.30551,-6.0789294,-10.107034,4.236306,0.29401866,3.0411053,-3.6715708,-3.4640594,-0.71079594,7.690539,-0.3401078
1947,-5.0966306,-12.582567,-4.503187,-5.5675035,8.334064,0.19055173,5.445524,2.7052639,16.698639,-0.73099864,-4.971439,0.72165436
1948,6.0902905,0.12868106,-5.262512,-11.410106,5.716067,14.471983,1.4801294,7.183682,11.71151,4.247143,-2.6572914,6.5523043
1949,5.9149666,14.341811,10.862677,9.003454,14.585683,4.8546877,7.491429,-1.2384028,-7.629596,1.8093559,-6.30808,4.8953357
1950,4.7235956,18.694092,-6.0056615,-1.4672827,10.64632,7.0522914,3.8021252,-5.834387,-0.4011362,0.5246741,-4.856679,5.240989
1951,2.7450874,7.635163,16.80644,-14.274636,-2.035836,11.762603,3.6089628,17.888628,-3.0493596,-1.8193519,-9.8845825,5.5850935
1952,-1.8658824,-0.3736176,-4.2819552,-10.941615,-13.228761,-10.54906,-5.91921,-11.714666,12.449676,3.167078,5.566462,-20.327587
1953,-9.129603,-16.496902,-8.665678,15.047672,-10.976494,-2.9040504,-11.887023,0.5826287,4.0600567,-0.98793495,3.9670002,5.3500075
1954,5.218873,-7.8140726,2.5790884,9.311714,5.495576,-9.006462,2.450493,5.064023,-8.315558,-3.4676814,5.734503,-10.899862
1955,-2.5697796,11.849123,-1.3778702,-12.907366,-20.00819,-1.730855,-11.50272,-18.218493,5.366605,-16.423283,-5.7558,-2.00586
1956,13.632866,9.775574,7.841553,-1.6328195,5.6676536,8.672276,-4.9442954,-14.347746,-4.165146,-8.086838,1.4945462,-1.8808254
1957,13.748361,13.36563,1.6518176,22.797663,-2.3031611,3.0320446,10.625011,-1.7895241,1.694317,-5.5034876,-13.607097,4.584815
1958,-11.385405,-3.404543,-21.204056,-15.343729,-10.794945,13.033707,7.915173,9.82073,-0.6689834,-1.2200065,-5.779879,-15.98857
1959,12.425366,3.9753194,7.2639713,9.296858,1.2388968,12.530054,11.572114,5.0417004,-1.9926072,-2.3508372,12.920809,-5.4908166
1960,-6.61784,5.8817143,-0.9720405,-2.1862009,-22.514626,-16.882776,-11.875898,-7.120171,-21.816229,-18.019293,-9.441938,-15.388197
1961,-21.915771,-13.714202,-13.039885,5.0565677,5.146685,-2.050662,4.93784,8.461033,-0.753387,4.312413,3.9700742,7.6011496
1962,-6.15898,0.37732306,6.8153224,-10.672088,-5.7336583,9.460249,8.560396,6.144935,-2.6151447,-1.880996,-5.1763663,-8.196115
1963,14.427807,7.6631613,7.641255,8.534964,-5.8531127,0.15078963,4.067092,10.341096,17.859798,4.957862,8.910884,28.81521
1964,6.553313,11.961952,13.210114,11.831376,4.2526193,9.4410095,-2.1732724,-1.1967338,-13.258779,2.9049613,-19.052029,-8.69677
1965,-6.962765,-2.9390182,-0.8388256,-9.753676,2.6828737,-1.8137996,14.617712,20.772219,8.193393,17.890152,11.616956,10.5529
1966,2.2383647,-3.7505522,1.8054904,-4.721249,2.532898,0.88745713,0.3727315,-11.610495,-13.550532,-11.76113,-10.910759,-4.0627337
1967,-4.888531,-10.922307,-8.535793,-1.6678369,3.1054368,15.342046,8.84559,8.243263,16.694736,2.7884076,4.2897615,0.46900147
1968,1.7389252,10.55911,-3.4626837,0.26501817,-10.189779,0.6732549,-0.72303617,-16.877645,-18.624992,-9.801991,-1.2817134,-4.1717515
1969,-3.8834093,0.39529216,-5.606968,5.140397,-9.991917,14.655401,13.162924,5.215321,-5.7751565,15.770945,17.879549,5.7679954
1970,-3.2846024,-1.4805969,2.1233032,-1.8535354,-3.594531,-7.265481,-3.534512,-7.3225627,-3.2225578,-15.564929,-4.118427,-7.0563345
1971,-7.753544,3.6151018,-3.1515317,-23.152613,15.137699,-6.159411,8.819295,19.92098,17.714897,14.551015,15.918903,8.496543
1972,6.404001,4.3764896,12.190068,5.906005,11.875595,4.2698,0.33328995,-3.0505052,3.3487248,-13.359213,3.0699286,4.660766
1973,8.8512535,12.224384,9.461065,6.046605,1.4451792,-15.116142,-11.592728,0.36237863,-4.4339685,13.681265,-1.542484,22.320635
1974,17.437449,6.2423496,15.439561,-1.3611693,1.9356261,-8.095354,-3.0789113,4.792183,8.635414,9.082312,-5.343383,4.867952
1975,-11.892648,-4.1375146,6.48847,-8.326451,-2.5036552,-27.069996,-29.705004,-27.335556,-3.791428,-12.04086,-14.721392,-17.926609
1976,-28.554672,-24.718805,-14.728859,8.649567,10.788403,-5.401366,10.657879,15.928205,14.946655,11.497307,15.48548,26.102678
1977,-0.53560483,-14.572121,-2.955991,-2.4546676,10.272171,-0.2523894,7.3695645,-0.47546452,-4.707183,-0.9117865,-14.800801,-10.489107
1978,-6.802008,-11.714619,-17.683851,-10.116584,15.7186575,10.804037,5.2179766,9.984429,16.60204,-5.969185,-0.5557566,-11.200048
1979,-3.3740852,-0.80069685,3.868894,8.987007,2.215581,-7.601962,11.75213,1.6372495,-15.489375,3.8063107,-3.9565337,0.09958056
1980,-14.967841,0.99830127,-20.910507,-0.5637273,2.5986767,-4.4428005,-0.8737232,-4.4885793,-6.5133224,-3.4707897,-8.939353,-10.865762
1981,-13.302003,-13.195605,-17.379835,12.960953,6.33123,14.573739,14.395221,-5.505004,1.7138323,-23.976486,9.258749,5.88838
1982,11.288102,-4.739688,-2.6619668,11.215387,-7.4254904,-3.8322601,-23.61836,1.3411025,-4.152949,5.3738294,-4.301837,-21.311848
1983,8.162964,8.730441,-12.1777935,3.695133,5.429797,0.5266055,-0.6871342,-0.23090757,-4.565209,-1.5898705,0.22501834,3.6077874
1984,6.430534,-6.079429,5.762449,2.5894315,-3.8287036,-3.7950633,-15.532839,-5.854229,4.972884,10.674696,-2.3258207,-1.5351715
1985,1.4564298,-6.9223046,13.459416,-7.4860334,7.7467904,-11.755604,-3.4303458,14.819017,3.1691842,7.9317966,13.570943,3.1758492
1986,-3.9229481,7.5085435,17.78224,3.2781074,2.7002392,0.23672706,8.665069,2.234008,18.719446,6.096463,17.261692,2.9428298
1987,6.6240664,-7.9172907,-2.876538,-2.858429,-23.752848,-8.177016,-1.1265538,0.12476651,-6.9826646,-14.613851,-21.46864,-5.547651
