Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,17.742027,21.958761,21.209627,20.683588,25.758934,11.059886,27.97707,27.90837,16.033144,-2.069253,16.318089,8.486877
1851,0.36077163,0.05614313,-1.3316942,-1.9025004,8.560794,-1.447876,-2.185759,10.095055,-6.227743,-10.975786,-18.98073,-9.992582
1852,-14.692918,-24.085981,-8.927599,-10.846822,5.484367,2.6315665,4.6115055,10.048095,-9.6138525,-0.50949955,-0.6881231,2.7399786
1853,-7.6410656,-9.810626,0.81389576,1.2425114,10.8204,13.4672365,28.894913,7.544389,10.481343,13.443479,22.719913,18.691093
1854,5.8840594,16.203236,8.772575,8.270749,4.6812453,6.379704,10.915532,17.250906,6.1959786,8.433442,0.36670423,4.209051
1855,-3.8967328,0.4546067,-6.485115,-3.0238533,1.7205614,4.442168,-6.461004,-21.245417,-6.836035,-1.4418885,-12.072637,-13.25907
1856,0.6117385,-3.387251,2.4664035,0.9911131,11.226686,3.285395,3.882148,-2.762915,3.8155406,6.260088,4.4959826,-6.9996543
1857,-1.9080149,9.799318,13.022254,0.3881471,1.5174189,2.8850348,3.289545,-11.413842,-8.122124,-19.504925,-4.2298975,13.077909
1858,-2.6813731,-6.499323,-14.594998,-2.0541189,7.88381,-0.20129102,-10.136987,-4.0017514,7.1436486,-1.1009005,7.034855,5.500797
1859,12.891539,9.038839,1.7649438,-12.586732,-1.027059,0.08890023,1.2699825,2.646722,-4.9852753,-13.15802,1.5287312,-1.8178943
1860,-7.9597445,2.2644098,8.915363,7.0414314,2.8865047,-5.150908,0.8243778,-3.5576692,12.434683,-3.8789754,12.874721,5.7775993
1861,5.11704,2.932535,-2.621428,-7.0832534,5.324687,0.30604473,4.742114,-4.200823,20.661242,0.46728882,12.896077,-3.5414233
1862,-1.8754555,16.211458,8.418798,6.088067,17.883146,-2.0322502,-4.897802,-16.514664,4.1788855,1.0950973,8.535231,13.923095
1863,6.993385,4.6639605,3.8896382,-0.6731823,-0.56786245,1.4173136,-1.6300336,-10.551199,10.231124,3.5956755,-12.857371,4.37124
1864,6.341332,6.078315,-0.03296368,1.3461888,-5.008179,-12.990863,0.5303811,4.50268,-5.5154333,-3.81504,-5.533461,-9.774889
1865,-1.350759,-7.4028535,-7.923151,9.887494,13.732424,3.224323,-1.7872758,13.252123,4.5959177,16.97146,17.042524,1.1090775
1866,6.943537,-11.0931635,-4.437329,-2.8441718,3.0754745,3.3879797,3.1845462,4.23572,5.1260757,6.2507644,5.7480407,4.264556
1867,0.43165317,5.584209,-9.501363,1.198468,-1.544836,6.600441,6.2264385,2.0821762,11.286167,-1.8419276,12.471466,7.7927084
1868,16.88972,16.610195,17.007544,7.4888816,2.494865,10.712614,28.322798,12.358343,25.511276,23.90932,25.340023,20.348665
1869,15.077918,16.090878,9.411347,8.2193,0.3661206,-0.6016512,6.473314,-5.9776626,-1.1912416,9.8289175,8.166313,-1.1057042
1870,4.6243267,7.3353662,-1.4892832,-5.5783715,-1.1045365,0.71039647,-0.89094436,-11.6905,-9.250986,-14.626755,-14.881601,-15.396001
1871,2.0161157,-10.972309,4.5345054,-3.9779975,-7.088736,3.8741598,-21.198742,-10.535886,-8.730894,-11.735018,-16.678032,-6.194836
1872,-1.7106414,-6.807899,-15.486551,-6.4724917,-1.6799494,-4.5581512,-1.42567,0.9112281,10.907963,5.5279403,14.375515,10.579117
1873,7.5866585,3.7516599,5.3279643,-3.894198,-10.547828,-1.6027511,-3.8437161,-8.931065,2.0683198,5.814317,9.736201,15.757273
1874,3.6801038,11.760942,15.729418,14.461383,-1.810811,0.58386195,3.5937855,9.404941,8.846769,3.7910333,3.1710625,8.268824
1875,12.5524025,10.52883,-2.033154,7.875918,-9.681873,-1.398779,-18.088215,6.7184978,-4.381777,-3.4105608,-5.319062,-1.7883399
1876,-16.840975,-0.17981088,-1.3586847,-5.8137894,-19.318386,-7.5051694,7.9048834,-2.3765123,-6.9443674,8.655884,4.9591184,-1.9397163
1877,9.607648,10.865633,20.968746,9.392492,6.2052865,12.269748,-0.56007004,1.611551,13.259641,-1.9555902,6.6784997,12.94131
1878,7.150131,8.019935,3.836238,4.5750003,-0.035440136,-6.777496,-4.4363194,0.04858546,9.455061,-8.839284,3.2095873,5.445292
1879,-11.346788,-0.58676994,4.1839204,9.516438,3.3603466,0.3427677,2.7758193,0.5978183,-10.635341,-7.665806,-12.608635,-11.044649
1880,-0.043483846,8.682579,-27.427326,-6.500165,0.25462845,4.8592935,-1.761154,3.5093648,2.2102065,0.6311229,-2.2492173,-3.3677008
1881,4.951938,13.248193,3.4110668,14.3775835,-3.2186356,0.8453135,7.0341616,-0.08157659,1.592328,0.9814347,4.2384524,-2.6263168
1882,8.386237,11.934689,8.742682,7.0215535,7.796884,6.146593,3.1635466,10.528929,3.442129,4.741182,8.97701,0.37057665
1883,-1.0052834,-0.92905396,-1.6317809,3.2782528,-10.354134,-11.196227,-1.9813955,-4.989962,-8.966254,-13.30809,-15.571699,-3.2019076
1884,-7.992304,-13.879942,-6.793908,-14.961958,-15.181839,5.4069448,13.42731,12.008182,16.489483,11.011275,-0.61065465,9.025345
1885,-2.9643233,7.8686604,2.814086,-2.1858592,-4.2003336,-5.526919,1.3801032,1.7478384,-6.168783,-11.003314,-8.633875,-4.183692
1886,0.88892573,-3.7914696,-0.16066009,-3.5749807,-11.887623,13.0217705,7.0182834,-1.0432445,6.4318175,-6.902579,1.901836,0.045838118
1887,0.9240784,9.863993,-5.429878,-4.696334,14.651761,23.416367,7.5801554,-8.063317,-0.12133852,-4.0019617,-4.0238733,-10.646025
1888,11.626043,5.348803,12.193098,3.6532066,4.3089747,-6.949136,9.368208,15.89722,11.634653,2.6224391,-0.2681184,0.21956062
1889,1.8948102,7.1950545,17.8515,17.518698,6.7712507,6.698635,-8.0810585,8.422345,9.54374,-3.9788742,-4.3203473,11.398712
1890,7.335691,-1.919732,2.0621283,-14.6501465,-7.1128297,2.3373835,11.277138,10.733104,-15.691016,-11.976107,5.99259,-1.108948
1891,-7.608506,1.0468211,5.8541317,0.82741195,-2.2222927,0.5511306,-8.732052,6.844066,-11.332312,-1.060053,5.5206604,-2.6778567
1892,3.5294082,9.614062,0.85539705,-1.5793854,2.5865152,2.9995944,13.522065,15.917638,10.530236,2.4137616,-0.5336049,4.6444387
1893,4.8810563,2.225495,0.64730996,2.8311927,-19.478065,-3.8348687,-14.616594,-8.653896,1.4590694,-1.4463284,-4.6545086,-3.8773348
1894,-8.909731,0.0054445327,3.717538,-15.532574,-6.938505,-4.783279,-9.550018,-2.7159545,15.105127,12.879605,9.804457,7.958862
1895,-7.9006767,3.3085268,9.997009,0.54015535,0.4535191,4.1890993,9.714448,-2.3081133,5.808187,6.8736887,4.3113146,-2.9730408
1896,7.5186577,9.33618,-6.8922925,3.0985713,-9.73951,4.5483456,0.3362613,0.70756274,-27.211168,-16.035994,-15.1898,-1.9397163
1897,-3.1593916,-3.8194222,-0.7492245,-2.285639,-4.5244164,9.113968,6.562435,7.330004,-3.9839187,-2.7783124,-6.46392,3.9837885
1898,-1.8521165,6.4962354,10.638684,-2.385419,2.0304718,-4.783279,23.382221,-6.045551,0.34027287,-1.7011813,-6.927056,2.378477
1899,10.256531,-2.0400383,-0.41924533,-2.2813516,8.86598,1.8999013,-11.758066,-18.898415,-7.2036943,-11.198671,-1.2241211,-4.9881496
1900,0.11585562,-0.44618407,-1.5783806,9.815777,7.375954,0.47768468,2.3927016,-0.71911544,-9.6828785,-1.1284281,-2.000062,2.6996114
1901,2.5589647,-2.3236766,-6.039048,-0.25418523,-2.4788191,-22.273388,5.785956,-17.02204,-2.7222767,-7.0020337,-9.105386,5.3014846
1902,7.7961335,1.6360211,7.334249,-2.6407146,7.922549,-3.4341092,-2.5222676,-5.575436,-1.318748,15.139094,7.4117284,-2.7517428
1903,6.6868076,4.3778563,6.7546816,1.1509167,5.6388493,-20.425665,-26.044565,-1.5133592,-8.888121,-16.341019,-15.108982,-6.375767
1904,0.16916087,-6.1710153,-9.275572,-6.532126,-11.805421,-0.38490584,3.5989072,23.931026,2.9220371,-6.1020565,9.431353,-0.27493578
1905,-8.284186,5.679577,-8.395918,1.3504763,2.732022,11.701739,15.216387,2.7044017,-3.0367284,-1.80996,-2.6905782,-0.9799176
1906,-15.321343,6.403608,-4.092549,2.1685925,0.41478032,-8.511059,-4.435807,-0.2592095,3.9478402,5.146105,-1.7044256,-5.113576
1907,-8.234339,-0.97947854,-2.0511475,-2.8005183,-12.352016,-17.834301,-10.136987,-2.71085,-5.966978,-3.4287648,-16.283571,5.8111186
1908,4.2641563,2.5031042,4.469206,8.322978,-12.850425,0.084908605,13.3438225,15.975317,16.376356,2.3089788,12.874721,19.828218
1909,21.592972,19.180477,23.016531,26.406893,36.788628,24.532026,31.192081,-2.9614758,19.881344,13.452358,22.951483,15.4656925
1910,15.399767,22.657305,18.933147,8.470698,-22.81102,-8.048829,-15.130321,-13.268779,-17.713383,-6.7791486,-5.4266806,-8.283832
1911,-8.847781,-11.836652,3.8063455,-10.5474825,-5.5453258,13.507952,2.5550656,-3.8139098,4.6740513,-3.9651103,-0.30622452,10.5239725
1912,-17.14467,0.14849679,7.762032,8.227096,-0.38361692,1.6631978,-0.47658318,-1.6654701,-12.166856,6.032763,1.6916243,-4.8847094
1913,5.0164804,1.4929688,-9.337969,-19.292244,-7.4756517,-8.2204685,-16.729887,-20.889639,-14.056441,-14.599227,-4.9375825,-3.4491558
1914,-10.455871,-11.421472,-15.676935,-22.417377,-10.3347645,-5.649462,-3.9118373,0.9112281,-3.2922206,-2.0781329,4.6157446,8.409027
1915,2.679982,14.816835,16.59427,1.537953,11.734541,4.0254426,4.5377502,9.164524,-0.51392394,-4.910819,-3.0297644,-5.2058434
1916,3.066373,-2.2310488,-9.766043,0.92719173,17.762205,6.400061,-9.696504,13.649244,7.442761,8.2696085,19.298323,22.799162
1917,15.960192,9.8834505,7.872025,6.2276025,4.439364,-2.1994994,7.2805243,12.818249,7.972919,16.45332,7.1072984,6.940315
1918,4.4649873,-10.773352,1.0782853,-0.18636617,5.537278,1.1111559,-8.212691,-12.845625,-6.3792167,-15.181748,-10.632142,-9.966992
1919,-3.7610204,-5.8624387,-13.531055,-9.944906,-22.728817,-16.677128,-15.172319,-0.651227,-4.7791557,-9.330342,-3.5737185,-5.896048
1920,-6.4490457,-9.179223,-7.9916425,1.1665072,4.3618865,9.66601,-5.070922,4.2934,15.105127,3.6458468,2.7807891,9.66401
1921,16.98394,12.0497875,13.872306,7.4651055,7.1581664,-0.48309988,14.927512,-10.305167,-1.6082736,1.122625,1.4215316,11.066405
1922,11.956248,-19.938562,10.2762,9.6283,-8.713876,-11.600579,3.6511507,9.614221,-1.770293,0.20399995,-1.3572831,0.65855235
1923,3.3761196,0.57792765,-10.363314,-0.64511925,-6.8322096,-4.978869,-12.880785,7.4081016,-4.862562,-15.8224325,-7.8064275,-14.620737
1924,-14.353493,-26.426613,-13.495648,-10.124198,-7.0159826,11.767201,20.030966,26.80531,2.6473713,1.1133012,6.828412,-4.4677033
1925,11.366144,-1.742972,5.3192577,5.912283,4.1681924,5.869175,16.024109,-11.403123,5.7688804,3.5046566,1.3013507,-1.5263145
1926,7.149843,2.0988855,-7.825347,-7.194726,-16.439903,-13.664648,-15.392561,1.0735478,0.72279197,-9.466648,-12.960383,-6.8594513
1927,-13.527406,-4.1674614,-4.348232,-6.2168064,-3.2909164,-9.54489,1.0814968,-4.5816107,-9.987264,-5.315298,-16.729538,-13.864216
1928,-13.804593,-19.994467,0.25522393,-10.479663,-1.051625,2.0064776,8.5077305,-9.422108,-13.732403,-9.521259,-22.025032,-14.853569
1929,-13.066963,-12.420645,1.40217,0.4762339,10.273806,-5.2407193,-3.7802048,-6.552928,12.307177,-11.98099,3.359918,3.1944683
1930,19.13488,15.672683,14.980653,12.681328,-5.6374483,1.057668,21.872286,6.739426,4.5072384,1.2132,6.965761,2.2422383
