Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,-1.5200595,1.4481046,-11.220193,-14.141317,-11.218002,0.5465442,-9.961007,-0.97242373,1.3604573,10.727828,-15.148432,-29.477898
1851,11.370786,4.7195387,0.5867776,6.8026667,-4.5624065,0.41482264,-5.1486115,-12.816689,-5.578556,-6.574973,-12.546761,3.3495393
1852,-9.335683,-10.480586,-9.593334,-8.060499,-34.60256,-1.3715063,-19.448256,-5.2554016,0.17934872,-10.011909,-3.0412314,-19.65507
1853,4.3307476,-25.783342,-5.2150292,-17.038847,-0.7945063,4.945119,1.481228,15.063754,7.2187247,13.293152,8.627486,16.540983
1854,4.9025683,2.6171095,9.329281,0.581899,-6.3462358,2.023212,5.5339923,0.102979876,-16.062057,3.2364037,-0.81504256,3.7759802
1855,-7.5671253,-7.3473854,2.435626,-5.201803,-13.017445,10.020789,-1.1588435,-16.613003,-10.413041,-4.377054,-18.40531,7.082347
1856,6.94828,-2.559555,-12.323752,-12.371074,9.037632,-8.145691,-16.779835,-14.855678,-1.0467103,-6.5966873,-12.188413,-1.5075562
1857,-8.016354,-3.169507,-1.9040838,3.6204767,6.6296577,-0.56176543,13.524552,9.936633,11.628894,3.2407465,-7.702267,0.17848964
1858,-10.547709,5.991454,2.5628574,-6.8130484,-0.5329821,-2.4530094,-19.04613,-26.43522,-16.641375,-14.805117,-25.356544,-7.6524796
1859,-14.249393,-20.987446,-3.926478,-9.586748,-4.254042,-1.4334385,-3.2356226,-13.165697,-1.008735,1.3433535,-8.884158,6.183844
1860,0.749432,8.45546,14.150235,-1.5708237,8.6234865,-3.0769536,3.8845384,4.679057,-3.8991184,-6.0768476,-6.401431,9.11287
1861,-6.440719,9.14329,8.094231,-1.1443824,0.35346782,2.169261,-11.72123,-6.1757846,-5.604906,5.193728,3.9936664,-6.164769
1862,5.0529594,-11.829823,-5.5150075,-22.064554,-11.737147,-3.294641,-14.152888,-11.180499,-5.727357,-3.5475693,-3.5976527,3.421837
1863,-15.745523,6.19199,-1.6876839,5.2079077,3.5799737,-9.6662655,-12.64675,-10.083071,-16.204659,-23.036129,2.4826603,-4.3898015
1864,-2.2383797,11.028772,0.294518,6.5597706,-5.892667,-12.205025,-6.655274,-12.424901,-2.2669566,1.251285,-3.0175433,17.904589
1865,-7.50569,-9.3410635,-2.0222652,3.5475712,2.7036724,7.7598004,5.184363,8.848947,12.141561,19.683228,-3.213601,-4.516226
1866,-5.2095118,6.464007,7.664625,-3.670791,-1.8648038,-0.76512504,13.943478,1.7832186,7.9483924,18.09635,5.735507,10.786931
1867,2.937195,19.41012,10.204463,-12.976664,0.1333191,-12.037253,-10.68074,-6.192303,-16.969976,4.28694,-3.7977426,-1.4990505
1868,-4.2501764,-5.453002,-14.959945,-19.519094,-8.022332,-6.993474,-0.77509075,-9.640456,0.70131505,-3.693489,-11.727753,12.968236
1869,16.089348,4.8096547,1.3270091,14.905051,-1.4908632,35.932495,29.561846,12.290746,13.9686365,20.178312,4.8252745,9.795253
1870,13.0022955,7.319831,10.7432,3.4537835,5.3208656,4.048026,15.759872,1.4511523,9.317827,-0.42766258,-8.505147,0.89102864
1871,0.42835623,-9.181135,-7.328987,-3.630125,-9.427537,-11.8311205,-19.483429,-15.450347,5.6977763,-5.1092596,-12.725682,-9.54034
1872,-2.1925118,0.8192394,-7.829928,-5.0801725,-20.498598,2.5279133,-10.689139,-9.534144,-8.282551,-20.271032,-13.556786,-1.427526
1873,-8.350494,10.157651,-0.09755713,-7.5706778,-1.2929636,1.3604447,-12.5995035,-10.870033,-3.7414048,3.475695,4.027939,6.256142
1874,8.838596,-19.593151,7.8147473,-19.709967,4.1814795,14.759068,-8.894269,7.3851438,6.8277345,6.014528,3.7643442,-4.940347
1875,-14.197132,8.915218,-7.34549,-1.6250448,0.22817041,-5.64899,4.490353,-3.5946467,-6.3031864,3.946026,-4.805248,7.774395
1876,-25.475647,4.492302,-0.3049071,-26.254599,-17.822464,-13.035101,-28.195297,-17.770153,-6.3864994,-2.9821296,-26.498114,-6.169409
1877,-5.184215,-20.160826,-5.8746095,-11.9831,5.230308,5.5228453,-12.0293865,-0.93472743,7.303588,-8.303864,-5.2840524,12.921068
1878,-9.340965,-4.813846,6.467638,-0.16144247,-12.919861,-16.77091,-18.302248,-5.256249,-14.690685,-7.0935097,13.168569,-19.199245
1879,9.123812,2.742549,-6.2264924,3.1973326,-2.360919,-1.8341492,-4.733886,8.878172,12.354687,-2.6381755,-1.8326281,11.364926
1880,8.235085,7.328453,1.8609552,5.8757796,5.0495834,-1.0623074,-24.205528,-1.6365564,-15.0747,-13.200866,-3.4892917,0.08763416
1881,-7.5351567,5.837923,-5.791829,-0.13579737,0.10014065,-5.0342894,8.271183,-1.4281678,3.6924493,2.7143927,0.3224961,3.6874444
1882,10.231036,-10.947854,8.228117,18.483643,-3.1310494,-11.71234,-18.78102,-8.224515,-7.7098217,-11.048982,-12.145573,-7.007212
1883,15.626222,-0.80479586,-10.776746,3.663707,4.3903084,18.134834,-14.634285,-3.61413,0.7373528,12.790684,-14.774461,-10.316671
1884,3.1109374,4.7871256,-10.955615,-0.3607415,-3.767685,-7.518512,2.7437797,10.619402,10.884501,-6.2688017,-7.597938,7.8223357
1885,-5.863339,3.868165,9.181022,-7.4113116,6.4649367,-7.04339,2.857698,2.9446037,3.6854742,-2.1648045,-6.7925386,3.0193667
1886,-0.81702864,-14.314133,-9.901565,-3.1439672,-7.733485,-5.600923,-17.033396,-7.9602175,-19.83711,-15.283699,-4.049745,-14.860992
1887,1.3876917,-4.60886,-2.2085874,-22.253595,-1.5759562,8.36572,1.5547237,16.109932,13.38157,17.85011,17.450089,22.744286
1888,6.3656173,20.263718,7.0170226,7.3459764,9.680513,11.0311165,1.3163877,4.6782103,7.1543994,14.983825,18.146624,18.846006
1889,6.359224,23.218077,6.7835875,-2.9083986,6.033617,1.3516632,2.1237907,13.280168,-1.4690883,8.8273945,-27.706213,-9.8732195
1890,-26.046911,-10.183815,-12.780242,-5.9077764,-4.197834,-11.066212,-15.517809,-15.701939,-2.1673684,-15.630693,1.2201285,-0.38829392
1891,10.596034,-0.3208395,-1.1231277,0.65553707,-6.076905,23.546047,16.1284,16.268764,8.681548,17.613857,-0.044923358,2.4947245
1892,21.14122,12.82414,8.196708,0.36391565,8.450178,3.0991688,25.019283,18.284035,16.393242,17.50572,19.911144,9.025107
1893,-10.29613,2.22466,-23.812643,4.02457,-24.077967,-2.6434278,0.21500166,-1.4319798,-0.3887304,-2.9439125,-11.124459,0.44989625
1894,-4.868699,2.5612042,1.0089304,-16.002419,-8.994266,-9.835424,-30.231653,-11.96238,-12.946535,-7.983361,-10.696055,-20.888384
1895,1.7082115,9.504867,0.65891093,-16.705095,-7.322853,-7.5883007,-19.895529,-7.393926,-2.7354474,-9.868594,-10.570558,-21.881609
1896,5.5803022,0.01487049,16.74517,-11.401689,-1.5611235,10.33045,11.805277,11.022626,1.8452233,0.5846568,16.957172,5.2903676
1897,8.203672,3.4759932,5.619074,18.81886,13.012019,-6.327934,-0.44593492,-9.77557,-2.9260988,-1.3830906,-17.25618,-1.6096237
1898,-5.165312,8.110015,-14.1183,6.569296,-16.377445,-9.920928,-10.760535,4.9467435,5.6043878,5.641042,8.077617,10.009053
1899,5.792685,0.58338016,4.3153505,6.4553585,12.253599,-6.174952,-6.217974,-13.308011,-14.674797,-11.970535,-24.290573,-2.2278275
1900,-0.72140086,-12.970458,-3.424739,-10.779612,-2.7161236,-19.860126,-11.786851,-18.303408,-22.696493,-26.609863,-16.649862,-18.264013
1901,-7.0522923,-13.774271,-15.897677,-13.33826,10.894063,8.181771,10.573699,8.699432,15.133082,16.745287,16.680979,1.6944231
1902,8.287346,17.976883,15.042186,21.946829,2.4585423,12.39039,-0.6307242,-6.754783,-12.06109,-2.530907,-11.006018,17.149134
1903,1.5088943,4.7337236,-7.48257,-0.4439049,3.3125944,8.001059,4.3690853,-22.134876,-26.675762,-19.749022,-0.6678732,-10.14656
1904,-5.762985,-9.246776,-8.215614,-20.581167,4.731851,18.15101,14.072096,3.930214,10.250159,-2.771501,-18.486456,0.43404487
1905,4.703807,12.434471,0.49388272,5.7105517,-3.3730567,-0.9125607,6.2862735,13.222565,11.673457,13.988442,6.8821177,19.685356
1906,-3.9115872,10.417708,-3.9594836,21.618206,-7.250641,-2.538975,9.330047,-11.13645,-24.35423,-6.371293,-13.480176,2.5434387
1907,-11.023624,-23.62167,11.980645,-14.785377,-7.760418,-15.207353,-25.075403,3.1322381,5.535025,18.208828,3.4785736,-1.1916884
1908,0.73692256,-2.2007596,8.181004,0.76947457,-17.716293,-6.153692,-4.5291476,-4.78441,-5.3104043,-9.958491,0.7473721,-0.21044914
1909,-5.222577,14.729925,3.7199183,3.70364,-12.972946,-35.29558,-29.07987,-34.668686,-22.450428,-34.33276,-7.9366293,-20.002253
1910,-11.659938,-11.105279,0.16515715,-22.765398,-7.5875,-1.9741901,13.812236,8.530857,8.919087,15.043323,6.0071654,19.891424
1911,7.936804,18.18604,2.1981983,5.846471,18.2991,14.765538,7.839133,13.622399,1.8118981,3.9707804,15.112515,3.4705513
1912,15.421622,15.153526,4.832794,8.101041,-7.201459,-14.599584,0.57618064,-10.089,-8.615803,-19.519285,-17.926003,4.441738
1913,-19.422186,-5.8346047,2.9913986,-8.023863,-1.2301197,-12.886742,-6.242123,4.450762,8.713323,1.774599,-0.34329414,-9.898736
1914,2.038183,8.11975,-6.4830847,7.3012805,-3.9932985,1.3849403,-1.8906509,-1.0719589,2.534591,11.626364,1.8501344,0.4000224
1915,-4.3099437,-12.328798,-3.5258853,2.1656668,5.877093,-6.132431,-31.435934,-32.193012,-27.80262,-19.392908,-16.456324,-11.833765
1916,-19.811369,-10.0539255,-19.939272,-12.564144,2.6279476,-0.99667764,3.167955,1.3986316,16.999296,21.676598,-4.308299,-3.2477286
1917,16.725662,5.0196476,9.900225,32.653656,25.578842,0.2424292,3.0755603,10.137398,1.8239107,5.9667563,0.2176631,-1.9672463
1918,12.735149,2.6577175,11.233227,9.806807,-0.15591885,-5.8990297,2.7159562,0.70485014,5.20526,5.147694,-1.2696549,10.013693
1919,10.098436,-6.117469,2.9232578,-8.221697,-23.4749,-24.026226,-26.873425,-21.833305,-14.426408,-18.156498,-1.3664237,-3.1332893
1920,3.4978962,-17.938522,-0.93494225,-14.346478,-12.778951,-11.750239,1.0045557,3.009831,-1.7480903,5.1741853,-11.892058,-0.802363
1921,16.198042,10.543704,9.869082,12.702504,11.982707,-2.5546892,-1.4885243,-11.884446,-1.085848,4.395077,-1.4117842,0.03389411
1922,5.476891,-7.582967,5.8493147,-9.051866,-8.548894,-23.404593,-25.283815,-19.555433,-20.427277,-17.333092,-13.369295,-0.44396707
1923,2.6736627,-23.660053,4.927552,-8.641543,-14.520233,-8.422999,-24.338871,-9.553628,0.44517565,-9.575017,-4.499821,-10.186768
1924,13.931331,-11.0527115,2.1327195,-13.38662,-16.192427,-25.083233,-21.752346,-24.066706,-15.411828,-24.487946,-21.897055,0.44023076
