Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,2.223337,-15.717079,-7.0660896,21.358633,7.218843,10.085141,-6.9510202,3.0324667,7.452702,5.2090054,8.292969,5.636122
1851,-7.2146573,-3.1736615,-24.40105,16.254257,14.373778,15.476305,15.070902,7.828097,13.655761,9.92183,1.147741,16.26411
1852,6.815594,-3.2265897,-14.113803,-4.9735785,-5.9739966,-1.3238722,2.5984766,8.715724,3.045122,-2.572222,-10.27211,2.9543555
1853,-1.6455828,-2.056853,10.4087105,-18.922688,-9.669392,5.8618426,5.671035,-4.3368425,-11.046753,-9.611296,-2.6385634,-10.7090025
1854,-13.576284,-9.699771,1.202443,0.33278647,-19.021433,-18.249954,-20.339361,-17.93752,-21.367027,-20.89271,-7.6034155,-12.5512295
1855,-2.4961278,-13.736134,-14.267256,-9.356735,-14.588805,-2.9333296,-5.674429,2.2021601,-3.3001795,-5.514655,-7.2987237,-2.4686954
1856,-29.42205,10.476457,1.927324,10.378759,9.966439,-1.3788362,-3.6014624,15.630536,3.5419936,2.621713,3.4426801,6.400391
1857,-6.45983,-1.99435,-7.7315693,9.259503,4.116247,-10.267964,-13.864895,-8.658642,-0.3761605,1.0057462,-8.102298,3.6353002
1858,-11.262229,-3.0401444,-2.2177706,-1.4771917,-21.254524,-13.908739,-11.323666,-4.705868,-10.956235,-11.473129,-1.450265,-6.5085006
1859,-0.6887197,10.585505,-6.3158393,-3.2289495,9.103256,2.0420828,-0.42296815,15.299838,4.9949903,10.769084,13.917581,3.8593643
1860,7.9863405,5.983956,0.4778713,3.6723347,10.210075,-2.3357728,5.913822,8.799162,1.0623378,12.267429,11.904989,15.638832
1861,3.1349914,3.9726899,-11.204378,4.178495,0.5701462,-8.776421,-3.3261108,-6.159921,-4.1873384,6.0361495,22.677269,2.7453456
1862,1.5982113,2.9407258,-7.183964,1.8401774,-4.081316,-4.855189,-4.5482917,-9.071759,-2.784499,-6.099347,-4.286743,-1.2310915
1863,-8.149695,-5.46659,9.760247,27.938715,15.649831,16.554445,14.711461,16.867516,12.747441,16.846697,11.205417,1.0519114
1864,-2.7411895,7.8007975,-7.2396526,9.840122,-4.525308,8.287773,1.109601,3.9533334,13.281539,9.087477,-0.764099,6.1269627
1865,7.889064,5.2304626,3.8256896,1.978005,-10.784965,-6.365993,-8.298923,-7.1883073,14.619331,2.1694396,-8.67715,0.8278473
1866,7.8080006,9.804085,-2.2471619,-0.86845285,4.5155,-7.9383383,-10.089943,-4.144868,5.2116857,-5.710438,-1.1622297,16.7504
1867,19.826313,-1.3733097,-5.732655,12.036652,-14.975901,-1.8650557,-12.692591,-10.31281,-11.698799,-6.2590847,-14.830707,-9.02117
1868,-18.03167,-20.18378,-25.332289,3.470346,-16.349215,-6.4331713,-4.649281,-7.4043636,1.9099193,3.2872226,8.084559,-1.7170305
1869,-9.8009,2.8444445,-3.7931416,-7.3649673,-5.7065315,2.8242621,-11.488547,-17.914795,-20.99986,-13.169534,-10.8997755,-15.9626045
1870,-15.507471,-14.2994585,1.2123432,-18.383656,10.922019,-5.5758276,-5.9048505,-1.8225198,-7.128599,-3.3420732,-2.1380563,4.2794843
1871,-5.158134,5.644578,17.389906,1.2381716,12.8857,2.5583682,11.470312,16.872944,11.42023,6.113931,10.490407,6.4959683
1872,17.513504,7.9505386,1.9625936,-2.4419854,0.11010616,3.4058464,4.8185997,-1.7146614,4.8143454,-4.4279847,16.580587,0.819795
1873,4.869754,8.221296,9.146434,7.886376,-2.468744,-0.7930237,4.39197,-5.316726,2.7817957,3.9056838,16.462774,14.623892
1874,-1.7790262,-0.9246181,0.124866895,-1.38095,-24.176702,-25.019445,-20.79402,-12.136228,-11.513453,-9.951639,-0.17015296,-7.8784423
1875,-24.443806,3.2051,1.0731215,-3.1735015,-10.114357,-12.482025,-1.6682322,-12.383489,-5.6481724,-11.402936,4.238129,-16.851158
1876,7.81143,5.122213,2.2326837,-4.0487866,-8.358813,-20.860506,1.3544494,-5.734593,4.611757,0.7170046,5.6409307,1.1537905
1877,8.787,6.320674,4.9976273,3.8200638,8.462799,16.801077,3.6359906,11.266679,-1.7014128,12.433618,-3.3214796,9.752249
1878,9.374712,8.453488,3.4194715,-0.5009124,20.746256,25.355724,8.629413,7.0473104,-1.3996847,2.5568316,14.603747,-5.4343934
1879,-5.432192,10.917968,11.062434,-9.226829,5.4336348,4.3068795,-0.937397,7.132783,5.213645,3.5171537,5.4642096,13.926843
