YEARS,anomaly
1850,0.28867020231269397
1851,0.1872104012892988
1852,0.1832078840106513
1853,0.08923805692152988
1854,-0.020749391118729418
1855,0.2406073908840122
1856,0.23652195838349718
1857,0.2332003493915987
1858,0.12040638742249403
1859,0.3292706954344257
1860,0.07813000335174251
1861,0.09641392204025165
1862,0.06571292718423934
1863,-0.022349884242420088
1864,0.27619029749408575
1865,0.224964172900687
1866,0.3938008425072979
1867,0.22758226975623277
1868,0.31894406910518386
1869,0.15784358459953435
1870,0.19807976108885605
1871,0.36023300513018375
1872,-0.012440351301310546
1873,-0.05178708141983584
1874,0.07666015042796642
1875,-0.046824771722748425
1876,0.048293333738150486
1877,0.19895160372775791
1878,0.0002104012987105255
1879,0.19343904316381674
1880,0.09278577328935055
1881,-0.07529964198286793
1882,0.2507581348741363
1883,-0.006309693881732727
1884,-0.13198808488337635
1885,-0.327741839266763
1886,-0.15399310221991852
1887,0.11349431998238584
1888,-0.0011589498913530311
1889,-0.15116648450035244
1890,-0.09152326651921924
1891,-0.20452828385122301
1892,-0.2192217440914656
1893,-0.18560114717864426
1894,-0.25017903644960265
1895,-0.22333733227811853
1896,0.014815928979430218
1897,-0.2699855675975831
1898,-0.007603664466425456
1899,-0.0008323063415848688
1900,-0.23256597415249416
1901,-0.13130215925893748
1902,0.009645081198272974
1903,0.04713753796984659
1904,-0.3378046679174137
1905,-0.09702829246662933
1906,-0.17342024750248514
1907,-0.2782368133216018
1908,0.009132503414061102
1909,-0.11741523016762381
1910,-0.30447552431047287
1911,-0.25207853471570796
1912,-0.42382978904154145
1913,-0.3925936125517255
1914,-0.2452393478220996
1915,-0.31735491878530686
1916,-0.3040383443516124
1917,-0.3805308011212376
1918,-0.20411119046310264
1919,-0.3337971160810268
1920,-0.2720433616909267
1921,-0.18654085302635615
1922,-0.21679713330693215
1923,-0.37752326650486084
1924,-0.3144855762053444
1925,-0.2693800571361631
1926,-0.33673432186982166
1927,-0.2090182405656119
1928,-0.3441338115256666
1929,-0.1346664758911484
1930,-0.20623431326636557
1931,-0.23733984955626686
1932,-0.30332728037872553
1933,-0.2593674879624503
1934,-0.343362453400531
1935,-0.2858298062684517
1936,-0.5194905935327478
1937,-0.280724269977233
1938,-0.12699310222128735
1939,-0.2144152129427184
1940,-0.056473007044092964
1941,0.0753134203075441
1942,-0.3087393392089197
1943,-0.21870416618961344
1944,-0.23457350876889996
1945,-0.3821162250118677
1946,-0.462493093594442
1947,-0.05042528206634091
1948,-0.1502619516764683
1949,-0.23865894126941498
1950,-0.5055232664984424
1951,-0.38415391531439935
1952,-0.28558104338288054
1953,-0.3991187250698242
1954,-0.24216898455460575
1955,-0.22567652778197034
1956,-0.015025792411904267
1957,-0.17371170080841047
1958,-0.15022176131496276
1959,-0.06297803299146361
1960,-0.16968907973900782
1961,-0.23604586175152462
1962,-0.2168900832041673
1963,-0.034272003577667465
1964,-0.007045878983052609
1965,-0.18974939111028363
1966,-0.24812879419280515
1967,-0.1633976264333775
1968,-0.11910617312967867
1969,-0.33934234960999193
1970,-0.07943783401911256
1971,-0.16742778211933365
1972,-0.022473007045808256
1973,-0.14027200357236225
1974,-0.21942778211668687
1975,-0.04605089631877156
1976,0.08130586847070286
1977,-0.08250316272890144
1978,0.08042145665757697
1979,-0.003473007046756771
1980,-0.052601147185318275
1981,0.08163001196158805
1982,0.29491139614144324
1983,0.09399934593105146
1984,0.28387120578046593
1985,0.35051944109894245
1986,0.1291752282684025
1987,0.1578134289134084
1988,0.40138628361764805
1989,0.3508058770671555
1990,0.23149431997645614
1991,0.48391139613191825
1992,0.44366516774721376
1993,0.20624307425332944
1994,0.3809239653113052
1995,0.562579735240536
1996,0.3940269843232967
1997,0.5733787489924841
1998,0.6309415518106891
1999,0.7435520968241913
2000,0.7040596400526862
2001,0.7583762317043564
2002,0.7516174255337248
2003,0.7183134030552392
2004,0.9056274774213492
2005,1.062979224871657
2006,0.8507204445413543
2007,0.9180194324604194
2008,0.894745565667583
2009,0.5305495967760151
2010,0.48834105869408084
2011,0.6462279877781698
2012,0.694690288863043
2013,0.7296500984997827
2014,0.8552907991987694
