YEARS,anomaly
1850,0.26429762538021473
1851,0.3517161901430875
1852,0.26874231555337336
1853,0.09268394671846257
1854,0.24773175377182988
1855,0.30181457383041954
1856,0.1870769441246022
1857,0.19981013002219444
1858,0.3087678829146661
1859,0.4646845048154588
1860,0.41239656714769707
1861,0.4993704417377833
1862,0.28817644394847974
1863,0.21778400460560968
1864,0.18444381610299973
1865,0.3438785025726063
1866,0.24660612853927558
1867,0.3082553782663748
1868,0.20961613225429646
1869,0.21424981833704446
1870,0.24074231555067382
1871,0.3608368135170822
1872,0.34540268512236055
1873,0.19168894858735303
1874,0.3384488179772067
1875,0.06880957194855924
1876,0.04988294634246254
1877,0.06504025691489697
1878,0.08748550515076246
1879,-0.06914818094672014
1880,-0.2953949876351018
1881,-0.23510149004635944
1882,-0.23239387150714422
1883,-0.30857730750384227
1884,-0.6120286737481072
1885,-0.3326506819019204
1886,-0.3578713631524931
1887,-0.22025268263472503
1888,-0.2761793082444211
1889,-0.22678742696454388
1890,-0.044075364609510795
1891,-0.3366312325260764
1892,-0.26295474125759255
1893,-0.23364067817372625
1894,-0.16161399468746487
1895,-0.24294973939636813
1896,-0.2528974885606549
1897,-0.2287190544283004
1898,-0.14441499505764618
1899,-0.08529548780067722
1900,0.07557500124506585
1901,-0.1481020480988565
1902,-0.06888192490399539
1903,-0.24530660765666037
1904,-0.11410149003462663
1905,-0.17889248669420008
1906,-0.211316053311038
1907,-0.4431076080476938
1908,-0.3034683620316441
1909,-0.27452005480455516
1910,-0.5244683620530718
1911,-0.4637146106527115
1912,-0.5246412362628751
1913,-0.6259247301370382
1914,-0.36805424108187695
1915,-0.4408191123238485
1916,-0.333054241078459
1917,-0.23357230563727932
1918,-0.09241555311356121
1919,-0.0959447375228227
1920,0.027228694759849566
1921,0.22152831034279732
1922,-0.019661243651095173
1923,0.14424981833026534
1924,-0.09141555311345309
1925,-0.2132899278928478
1926,-0.0030169957876779634
1927,-0.04526824625658025
1928,-0.07986080134599596
1929,-0.1709397356708002
1930,-0.09372461433541145
1931,-0.13002867370138868
1932,0.14833875636517527
1933,0.17955331963519244
1934,0.05704470071247974
1935,-0.008582867394994398
1936,-0.11869292899926448
1937,-0.13339498761941965
1938,-0.290431674832508
1939,-0.30473517613538426
1940,-0.23672961620858485
1941,-0.06587636498346006
1942,-0.10786080134873033
1943,-0.109876364987743
1944,-0.08961455274142448
1945,0.06376788289091104
1946,-0.03383967778248935
1947,0.14360056860905818
1948,0.03194019903668781
1949,0.03153219606178756
1950,0.0004432580242165993
1951,-0.022787426944760165
1952,0.15938044542343377
1953,0.1939513188928396
1954,0.19437544356751316
1955,-0.014373864048857227
1956,-0.11265123994154297
1957,-0.14276130153803884
1958,-0.04627492229879627
1959,0.061401010912033344
1960,-0.07322322952568182
1961,0.03739545098948206
1962,0.12361057232572302
1963,0.11161057232455927
1964,-0.008117053663187592
1965,-0.07898698463928891
1966,0.09235431999859467
1967,-0.043729616189869557
1968,-0.010583425456117875
1969,-0.006353856610907397
1970,0.04115532036546613
1971,-0.1875628599751844
1972,-0.0524305586875523
1973,-0.1618346759356368
1974,-0.030912494117021183
1975,-0.3067351761355877
1976,-0.3268557995106508
1977,-0.2250547991289273
1978,0.08836488177771533
1979,0.10629650924302046
1980,0.0560708261307084
1981,0.1460346970025207
1982,0.08450051072834013
1983,0.012197009419826512
1984,0.009318748914554352
1985,-1.7553848321284323e-05
1986,0.04883069550565885
1987,0.12140156897879416
1988,0.11519756749076215
1989,0.15691463169138872
1990,0.16114420053665604
1991,0.17599800980757216
1992,-0.024666803571821144
1993,0.1883287526504879
1994,0.36585237715637153
1995,0.3804543779015321
1996,0.5499624387678496
1997,0.44050162688470784
1998,0.634177002042945
1999,0.92728706366497
2000,0.8833860054138325
2001,0.8913965671941388
2002,1.0536483757356334
2003,1.0870363712765774
2004,1.034407687048478
2005,1.0896650554998182
2006,0.9220252514200921
2007,0.9024449322944833
2008,0.8782503764623426
2009,1.1273921234186801
2010,1.313386563516466
2011,1.3963031854102026
2012,1.3513921234403845
2013,1.3375644395878787
2014,1.6431931238405244
