YEARS,anomaly
1850,0.2400701619669056
1851,0.05219020314042026
1852,0.35684252859220733
1853,0.4342151231730714
1854,0.6473096854590666
1855,0.5331562312926725
1856,0.62256733465282
1857,0.420004475717601
1858,0.3409908869899583
1859,0.39539745339925003
1860,0.5974648382237766
1861,0.5269421866541167
1862,0.46099088698489377
1863,0.4010027771270447
1864,0.5787241860086018
1865,0.41266019836530654
1866,0.2944359621832722
1867,0.3496788828730559
1868,0.414683978644412
1869,0.6938646102657877
1870,0.622444455126281
1871,0.27363357973103203
1872,0.22872304625378337
1873,0.3617819381244098
1874,0.21002825600567282
1875,0.3712507935945436
1876,0.30245804387074254
1877,0.5075996078937389
1878,0.37988613314511926
1879,0.058597909321318184
1880,0.09006676479051401
1881,0.22079382826996502
1882,0.38154751038831447
1883,0.3364597424606735
1884,-0.1121688027058207
1885,0.15316132708284644
1886,0.1836856772455508
1887,0.36521682176737963
1888,0.304468235418911
1889,0.41231138406039025
1890,0.40278363671405
1891,0.2928544187345081
1892,0.34696710671053116
1893,0.2292541907832749
1894,0.27531308265753046
1895,0.28069756738105195
1896,0.3088510215510661
1897,0.4505033470097496
1898,0.35154751038957405
1899,0.5173702759321444
1900,0.37166869132387464
1901,0.19278363672291948
1902,0.10639745341147075
1903,-0.028831878544002352
1904,-0.030909454925175144
1905,0.14835384885581077
1906,0.2410599704186314
1907,0.0028714046604606832
1908,0.1487904310902749
1909,0.23899088699429158
1910,0.019894626117145833
1911,0.05493369371722027
1912,-0.06759405362432429
1913,0.08231478125707492
1914,0.15391840639070223
1915,0.041447852333535394
1916,-0.0736988074673133
1917,0.06617151863474074
1918,0.2250956408380868
1919,0.08650900162100525
1920,0.31661659381549917
1921,0.4842321090846716
1922,0.6597547606498573
1923,0.547366878748156
1924,0.4305084427846949
1925,0.5346064022580429
1926,0.4507094575134484
1927,0.8232304104789966
1928,0.635749664876766
1929,0.47599428416703216
1930,0.6248272412585112
1931,0.4686584997715706
1932,0.2544110421361587
1933,0.23349371429246138
1934,0.3765644963022181
1935,0.5629201049647704
1936,0.7596618969420387
1937,0.5238255426714251
1938,0.3135475103911684
1939,0.3761392453855995
1940,0.298306288291069
1941,0.09739575482046105
1942,0.04002485883010925
1943,0.20303674896281831
1944,0.11650050866289957
1945,0.2043096854777963
1946,0.2547768423548197
1947,0.39507355914309455
1948,0.3165152371550142
1949,0.2610214616380485
1950,0.1025390174432358
1951,-0.11366143845546967
1952,0.13599258559000924
1953,-0.2009026605525304
1954,-0.26719258297848314
1955,-0.18403403303662447
1956,-0.11911840378615655
1957,0.005864610294862221
1958,0.20223890346208115
1959,0.19307355915162935
1960,0.035661896972597654
1961,-0.009504587105915249
1962,0.006407644963915545
1963,-0.21165804126857932
1964,-0.1161319925172695
1965,0.015974459911748683
1966,0.10061999100734412
1967,-0.020142184069529435
1968,-0.10362123108477102
1969,-0.16214218406352693
1970,-0.06000741440170267
1971,-0.152373214616475
1972,-0.01461273813166399
1973,-0.15320617171426001
1974,-0.03427865232645906
1975,-0.07949609414608351
1976,0.034549208994332954
1977,-0.04649439555612168
1978,0.1609370908954878
1979,0.07393029653365932
1980,-0.017424172363298334
1981,-0.18942191494290975
1982,-0.046971743983454085
1983,-0.13461273812659946
1984,-0.17476958947885787
1985,-0.08608159359916873
1986,-0.11321126749006838
1987,0.2051460397582883
1988,0.17537367312933558
1989,0.47967378709345565
1990,0.6378878317255774
1991,0.5301913428898175
1992,0.24104014614395283
1993,0.3817094575163682
1994,0.34367718428192723
1995,0.34259451212658437
1996,0.4752926995526408
1997,0.6448000637957739
1998,0.5504206748501176
1999,0.5996652941315233
2000,0.7686652941243669
2001,0.7926788828543262
2002,1.0110429844724207
2003,0.8748793387586994
2004,0.8127021043109274
2005,0.7154948540417088
2006,0.6563617829694279
2007,0.707179452742743
2008,0.6765203329139029
2009,0.6685084427746407
2010,0.7214308663911165
2011,0.7034308663918827
2012,0.7151052735438674
2013,0.6162604263106122
2014,0.7213668787407841
