YEARS,anomaly
1850,-0.26397770492783956
1851,-0.21447932694199984
1852,-0.1456180651414402
1853,-0.0033560818428910455
1854,0.16256175472618759
1855,0.07623707211668702
1856,-0.1353373447396605
1857,0.0004327486048226611
1858,-0.04093337922573256
1859,-0.18403788724218342
1860,-0.13069698453874168
1861,0.18415815270984767
1862,-0.017785272490901467
1863,-0.136706353082956
1864,-0.028513920631815466
1865,0.04617076528694506
1866,0.03955526670262698
1867,0.30729689088955603
1868,0.3782431966123874
1869,0.3869941893707501
1870,0.3263949108824933
1871,0.18407310878735741
1872,0.010154908709598058
1873,-0.046337344748806436
1874,0.1480568887005459
1875,0.208975088789882
1876,0.13106013272038952
1877,0.1071866218617232
1878,0.053836350613479335
1879,0.04325580920975766
1880,-0.03774419078193703
1881,0.02553652961441689
1882,0.018678511825557232
1883,-0.2542047310618151
1884,-0.5153503207730623
1885,-0.33133734471952564
1886,-0.19016364936145574
1887,-0.30017662542258344
1888,-0.3096213091426922
1889,0.04678265634431624
1890,-0.037848335303564636
1891,-0.12182959820526416
1892,-0.18896221186401124
1893,-0.26233734472662107
1894,-0.3339366232137492
1895,-0.14223283670783152
1896,-0.22268725247493823
1897,-0.05101878665667336
1898,0.08418337784600333
1899,-0.06912256766695923
1900,0.03288031283116416
1901,0.22011058296299385
1902,0.13804752015672347
1903,-0.13418599398447917
1904,-0.04688580948195418
1905,-0.26122095115164423
1906,-0.09903788725088061
1907,0.10716103322635512
1908,0.03535995373219164
1909,-0.04316364937656835
1910,0.019271665793267265
1911,-0.014690496514432614
1912,-0.132236444236448
1913,-0.13352004514776616
1914,-0.4277283341608071
1915,-0.5116623908288834
1916,-0.34826815737635175
1917,-0.22598094894988272
1918,-0.14508184946172284
1919,0.09120499544355591
1920,0.06243887312515089
1921,0.005016170517783019
1922,0.16316139673010577
1923,0.06957761131679258
1924,-0.12508184946376177
1925,-0.21424256875473732
1926,-0.26763392170992933
1927,0.0014795913288666498
1928,0.03424319664771606
1929,-0.24479788503053915
1930,-0.27359608402048613
1931,-0.09918923800616573
1932,0.11717364578827032
1933,0.11520572246007676
1934,-0.1615704953966595
1935,-0.2395834714610586
1936,0.0338266185611947
1937,0.057505543467985414
1938,-0.3295643708526606
1939,-0.3047978850243765
1940,-0.3900032935502946
1941,-0.0772173436429324
1942,0.10416427724479284
1943,0.17372932557087567
1944,0.030391303385300276
1945,0.007016170517587072
1946,-0.2487852724671612
1947,-0.15241914464228457
1948,-0.040930135207639766
1949,-0.08472833419606618
1950,0.027962476245544463
1951,-0.02868437198626052
1952,-0.07191139811476509
1953,-0.16062743368474433
1954,-0.17194599177521874
1955,0.03782373805217456
1956,0.13622409603807387
1957,0.3425556301809562
1958,0.13523995261924482
1959,0.1853066229564124
1960,0.0016940048988538293
1961,0.08831887201982938
1962,-0.08418599398962781
1963,-0.5693694213666474
1964,-0.5030375236999022
1965,-0.448914642094154
1966,-0.5858263541394724
1967,-0.571516801084658
1968,-0.6445456337306198
1969,-0.4093214881304638
1970,-0.3233027510496263
1971,-0.2336904964919249
1972,-0.10900617408778915
1973,0.1460161705033151
1974,0.1931743727994692
1975,0.006691124389741538
1976,0.05889292539145496
1977,0.16473545009852944
1978,0.2670543716891834
1979,0.1023001349287281
1980,0.21425256517408722
1981,0.17249256738376217
1982,0.40183022605099256
1983,0.29463743009026117
1984,0.2569877013479037
1985,0.21216752125179295
1986,0.23770049291086026
1987,0.3723408530984173
1988,0.4716125684557134
1989,0.4907386940831482
1990,0.3290792332991844
1991,0.30345472968147547
1992,0.013356709716345365
1993,-0.201349957295805
1994,-0.21814779277755422
1995,-0.12479464102477159
1996,0.22127454628110435
1997,0.451905537913999
1998,0.4993383360862484
1999,0.33676716324297146
2000,0.4550637402146913
2001,0.5203159914668304
2002,0.4301300470500776
2003,0.0556504061872583
2004,0.23072608154694263
2005,0.3600165339907902
2006,0.48879202484374534
2007,0.9193253599706369
2008,0.9844835622649707
2009,0.8508464460954028
2010,0.5001902293489865
2011,0.4599880648365418
2012,0.4238994133901691
2013,0.6372183349693855
2014,0.956221578954741
