YEARS,anomaly
1850,-0.4182166155123409
1851,-0.3900688347975146
1852,-0.2356535040416835
1853,-0.3056630471436869
1854,-0.25600048835621203
1855,-0.3057320114764413
1856,-0.35173232042923946
1857,-0.34256452667062665
1858,-0.5211575032335408
1859,-0.42788041009699873
1860,-0.3160685258429438
1861,-0.4510288087113595
1862,-0.38766273819888614
1863,-0.3252868156389637
1864,-0.34679143271417606
1865,-0.2931778252142156
1866,-0.3506725902440914
1867,-0.2653166807277322
1868,-0.4061972203664156
1869,-0.39991950933545445
1870,-0.2959601533188115
1871,-0.12379235954998548
1872,-0.40856359982500823
1873,-0.35598970946516856
1874,-0.31942536220396806
1875,-0.2971279470769315
1876,-0.1973560889136367
1877,-0.32358361286468973
1878,-0.416355162077604
1879,-0.21326711153687594
1880,-0.33208853888894607
1881,-0.4223055928903353
1882,-0.26670307323121034
1883,-0.25482191570076673
1884,-0.47331544494107075
1885,-0.5463748661807906
1886,-0.4234647704006068
1887,-0.40086163284999105
1888,-0.4127514066282832
1889,-0.3979595354253176
1890,-0.2811975293085185
1891,-0.16701988349577052
1892,-0.4037317025326616
1893,-0.35439518816372007
1894,-0.3368603970463136
1895,-0.38457345187101466
1896,-0.12090073207271054
1897,-0.22243521424541557
1898,-0.30566335609361367
1899,-0.26877172861421883
1900,-0.399880719045153
1901,-0.3326328731029108
1902,-0.16748447447966625
1903,-0.3103554710208554
1904,-0.2780389696979551
1905,-0.26715812111747717
1906,-0.22157376081072827
1907,-0.010059600626032648
1908,-0.316792050612133
1909,-0.35001895665749383
1910,-0.08688195482527038
1911,-0.10190073207152656
1912,-0.08349618022151103
1913,-0.323215688656644
1914,-0.2979198182790109
1915,-0.21061347795014365
1916,-0.041217851288441805
1917,-0.2618810279864548
1918,-0.4424743134994303
1919,-0.33762333000560096
1920,-0.12527727252882812
1921,-0.22835577996565615
1922,-0.1711876772541211
1923,-0.13879174165106783
1924,-0.14902911764236304
1925,-0.02999956149229788
1926,0.08222827140774948
1927,-0.007276654621593914
1928,-0.2973059018324382
1929,-0.18793983131713962
1930,0.057663306247493114
1931,-0.08834654580920505
1932,-0.12688102797801415
1933,0.06319717051436774
1934,-0.17450448752512604
1935,-0.18010793402460862
1936,-0.10412887391459143
1937,-0.17066335608517305
1938,0.08558356301913983
1939,-0.06123724643484925
1940,0.00747519049137382
1941,-0.2044647703869054
1942,-0.0507825074978355
1943,-0.18157376080825033
1944,-0.2474835476349234
1945,0.031465029495394495
1946,0.05343547335416346
1947,-0.1371082429718376
1948,-0.0557119984158125
1949,0.09005955080042698
1950,0.09919778841642973
1951,-0.048345310007030726
1952,-0.0005543656517644866
1953,0.0485647857715153
1954,-0.09598940049897736
1955,-0.04461286003990325
1956,0.07864360215372193
1957,0.134634059059592
1958,0.18596041243123196
1959,0.158247666557702
1960,0.030851421998748612
1961,-0.0899407581607729
1962,-0.18505929168707055
1963,-0.14097000535663604
1964,-0.1728216067457139
1965,-0.04983238563535007
1966,-0.08085147183249718
1967,-0.23481113680225402
1968,-0.09207899577633251
1969,0.02226706169433942
1970,-0.16353373471709676
1971,0.05356416787201632
1972,-0.03515812110298531
1973,0.20221687461813226
1974,-0.006505105414458014
1975,-0.015426289034690373
1976,-0.06472277731366946
1977,-0.14886039703455844
1978,-0.045475549274286924
1979,0.10154415483000583
1980,0.04375228362434246
1981,0.221850495160954
1982,0.061039537753634285
1983,-0.05074217245795701
1984,0.004604193958922938
1985,0.1639502514323812
1986,-0.020701837416171254
1987,0.09487205294759983
1988,0.152039846709265
1989,0.20286096510715781
1990,0.24207832805524782
1991,0.19705955080714121
1992,0.08772241853459915
1993,-0.13843490529027416
1994,-0.01669229431828361
1995,0.10418824531916611
1996,0.06258387196764863
1997,0.17081201381739944
1998,0.2700395377667189
1999,0.3646728493642968
2000,0.35448411571084804
2001,0.2653655821848977
2002,0.2766029581762886
2003,0.2950386109184913
2004,0.3824345465249938
2005,0.34900998162902575
2006,0.4907316527074884
2007,0.4119988937857513
2008,0.3586020313316451
2009,0.30341546032484057
2010,0.4967809129455464
2011,0.2422864568532536
2012,0.1401285151363116
2013,0.441949015650105
2014,0.48436496429874554
