YEARS,anomaly
1850,-0.032084056974627115
1851,-0.11080959800015384
1852,-0.13905137090144606
1853,-0.0687653866511356
1854,-0.049897242566888336
1855,-0.09427076022417726
1856,-0.0007544171826203819
1857,0.04730065247189886
1858,-0.05931474924874392
1859,-0.177358627117617
1860,-0.07855629982793694
1861,-0.1520841681395985
1862,-0.3075787945726478
1863,-0.3291502072646771
1864,-0.21474344772362258
1865,-0.3030073818811978
1866,-0.16582034514636979
1867,-0.2726778532501612
1868,-0.22330411327082386
1869,-0.024116965373027807
1870,0.03008092966431513
1871,0.02545478080272743
1872,-0.16349048303352298
1873,-0.21597413999685308
1874,0.04101544635016951
1875,-0.23505114858284526
1876,-0.45277668961305384
1877,-0.31816117673053396
1878,-0.18609513760694096
1879,-0.05965524734503816
1880,-0.21305114858211285
1881,-0.3416668837862509
1882,-0.19186411185117785
1883,-0.19560028885762135
1884,-0.41168860039921
1885,-0.3508753036445694
1886,-0.331501452505394
1887,-0.4565458861790165
1888,-0.3251499849427205
1889,-0.4933811218652477
1890,-0.38474333656844073
1891,-0.35379818389844203
1892,-0.22940294962787683
1893,-0.1057321447710022
1894,-0.1350069372318911
1895,-0.2160071595564291
1896,-0.2896446113693154
1897,-0.16872150878963452
1898,-0.12694100927341273
1899,-0.3044580192832924
1900,-0.29308439046620616
1901,-0.13644649400680972
1902,-0.26893026213383575
1903,-0.28537004123109494
1904,-0.2582931438058226
1905,-0.15623774066670162
1906,-0.22619397396512048
1907,-0.06757846108179123
1908,0.10875128987601691
1909,-0.11058998635405255
1910,-0.06135873827459154
1911,-0.057314860409637694
1912,-0.07025990191808705
1913,-0.18607319867453034
1914,-0.16495231222367185
1915,-0.18646887758459268
1916,-0.16572150878953693
1917,-0.06762256126848641
1918,-0.08120460994368604
1919,-0.0228748589898585
1920,-0.053336465859167285
1921,-0.182084168140628
1922,-0.18990843435964502
1923,-0.09643563570017158
1924,-0.16530389094702838
1925,-0.1058530312211489
1926,-0.15986422301103145
1927,-0.18807319867460726
1928,-0.024644389038553278
1929,-0.046182893331930965
1930,-0.1470512597407831
1931,-0.17782023398585
1932,-0.14105148206244747
1933,0.07535572212575194
1934,0.1205427588574501
1935,-0.0417872144217254
1936,-0.10140261614080569
1937,-0.19039186899939983
1938,-0.07199607892445363
1939,0.020487355718441663
1940,-0.10449081651428298
1941,-0.07106178456076535
1942,-0.004875192472042681
1943,0.13622408853323612
1944,-0.07782001166066654
1945,-0.11524893245336731
1946,-0.00033657701826288156
1947,-0.09560051117611454
1948,-0.07785336470295912
1949,-0.12882034514513507
1950,-0.0441167430518344
1951,0.1586745036142042
1952,-0.06654555268312966
1953,-0.13983153693357334
1954,0.08380624836716288
1955,0.16250962813839442
1956,-0.002413696764600358
1957,-0.015194196279848877
1958,0.02887195400163568
1959,0.11761954512086088
1960,0.1030146682258092
1961,0.1271249186933334
1962,-0.08110610706963722
1963,-0.01858943054635713
1964,-0.0021497626099655637
1965,-0.20818333798106373
1966,-0.1719743623172265
1967,-0.0942050545878449
1968,-0.04018289333175704
1969,-0.0956230059131369
1970,0.012476497412863755
1971,-0.08938078836887924
1972,-0.08843563569991011
1973,-0.10136981890307861
1974,-0.1262930326404465
1975,-0.14604017911364325
1976,0.06758685904236261
1977,-0.17321602405670852
1978,-0.18111718770014776
1979,-0.0897213976260873
1980,0.04944325553271976
1981,0.3748834792841012
1982,0.25443261955617763
1983,0.042465194464889576
1984,0.04053134474487851
1985,0.08070763433204578
1986,0.18426785523878728
1987,-0.005941231591147888
1988,0.09246552794934805
1989,0.18923494684029965
1990,0.09489444874090164
1991,0.04292713481593162
1992,-0.06366666145502772
1993,0.012157827088101899
1994,0.035685250754426724
1995,0.180893892939189
1996,0.2873997111586532
1997,0.16767450361452196
1998,0.1464984363497923
1999,0.1947071896922315
2000,0.18077322881084504
2001,0.13504768778644544
2002,0.22550951697958038
2003,0.22836669159707443
2004,0.27209201029960506
2005,0.29383926793379256
2006,0.40513588816891294
2007,0.5115098504719895
2008,0.552927468315876
2009,0.3782345022030004
2010,0.5853121777607933
2011,0.5086418175492146
2012,0.4935425365481566
2013,0.6033890751858509
2014,0.5282350580126425
