YEARS,anomaly
1850,-0.3368139033324654
1851,-0.193107856797367
1852,-0.2373447954922618
1853,-0.11415511264192121
1854,-0.010851949818665914
1855,-0.041145793369133404
1856,-0.18379981451098074
1857,-0.09564817814334586
1858,-0.09098938745066469
1859,-0.28060547202179476
1860,-0.37535888431390446
1861,-0.3405817341866039
1862,-0.4006149012068367
1863,-0.3549420216916054
1864,-0.2147240512827991
1865,-0.1462690322652401
1866,-0.21691828385834097
1867,-0.24967180606373807
1868,-0.05307479969057652
1869,-0.041439746832608634
1870,-0.06791362422301832
1871,-0.25356753545173116
1872,-0.22549643186089308
1873,-0.2318755777384099
1874,-0.1417333705569769
1875,0.02350811786075218
1876,-0.25273814010539214
1877,-0.268548567166451
1878,-0.2738897764737105
1879,-0.2149420216929663
1880,-0.1490462923056041
1881,-0.10654390753127661
1882,-0.2147998145106883
1883,-0.37392294349356797
1884,-0.44126881243694155
1885,-0.218088998424684
1886,-0.3406054720212196
1887,-0.3988329815297406
1888,-0.3075912732858361
1889,-0.2195391379806953
1890,-0.2165297087945
1891,-0.2006860047999063
1892,-0.15805106185496862
1893,-0.34755799635189066
1894,-0.2867809561375677
1895,-0.29662444030677176
1896,-0.38110785679555675
1897,-0.1920177849210984
1898,0.025963136878961457
1899,-0.26969554389817835
1900,-0.26936853332655175
1901,-0.07003686312011835
1902,0.10939918761119417
1903,-0.12917419083966933
1904,-0.2400273240195683
1905,-0.28969554389797847
1906,-0.1922736919015453
1907,-0.07287568765268596
1908,-0.11188522675122792
1909,-0.182534368431591
1910,-0.17345383565433725
1911,-0.10840668972385506
1912,-0.21491362422160587
1913,-0.32757707454995055
1914,-0.3878567193644841
1915,-0.4427807363106428
1916,-0.3045626559890429
1917,-0.12135899422906749
1918,0.03740872671086041
1919,0.08977833348900754
1920,0.02745609246744842
1921,-0.05612682508380714
1922,0.005181107289315761
1923,-0.02016953120393613
1924,-0.041586613651631466
1925,-0.18063397940683257
1926,-0.25803198365612295
1927,-0.03356764536655882
1928,0.02977811366415312
1929,-0.3712121274076388
1930,-0.32871440227006693
1931,-0.10610308724873249
1932,0.0038826041018099338
1933,0.08410046459848887
1934,-0.334292660185343
1935,-0.2317807363126606
1936,-0.0033070787496722602
1937,-0.1506861147131139
1938,-0.25582821198165107
1939,-0.22345383565381058
1940,-0.19302255447055855
1941,-0.09908422887636438
1942,-0.12084718026812756
1943,-0.1266387489568152
1944,0.00978299312653817
1945,-0.08662931977098746
1946,-0.20655344662921019
1947,-0.21979981451063563
1948,-0.08508433878922692
1949,-0.06422643605900025
1950,-0.19446326484033158
1951,-0.07035444450550668
1952,-0.17146337475327694
1953,-0.2128283218947963
1954,-0.037795264788363696
1955,-0.09759615275005182
1956,-0.04165294769332849
1957,0.18091078174604766
1958,0.004223813409122164
1959,-0.04933070667108891
1960,-0.08463397940775279
1961,-0.10662455022134022
1962,-0.20818838957459168
1963,-0.31231639802016814
1964,-0.41308888851010883
1965,-0.3041504530033349
1966,-0.24519792867314333
1967,-0.24457230500128588
1968,-0.22216942128929867
1969,-0.08912682508350503
1970,-0.02257230500344226
1971,-0.01789942548781327
1972,0.041427475170533676
1973,0.16971665908332642
1974,0.21364078594225866
1975,0.04877833348940529
1976,0.06376402484083464
1977,0.07212897198270217
1978,0.07660761892277958
1979,0.09055082397988783
1980,-0.024875687653146048
1981,-0.016117395897990185
1982,0.011067517403787924
1983,0.19885409671582827
1984,0.24754605442892266
1985,0.13355548361622524
1986,0.1551905364740878
1987,0.09553185569466688
1988,0.2107545956532192
1989,0.25750345822177123
1990,0.22491566120779216
1991,0.12150822777254931
1992,-0.02690885467393341
1993,-0.1265344783448277
1994,-0.11430685892311845
1995,-0.06526892235332134
1996,0.1495792214506957
1997,0.29614317071622176
1998,0.1723137753710759
1999,0.01807683667722602
2000,0.133887373650037
2001,0.29338021932428116
2002,0.14972142863297366
2003,0.059384988875989135
2004,0.17642769499465497
2005,0.2709347394052478
2006,0.29385886626437796
2007,0.5201714582727244
2008,0.3944796104731106
2009,0.3550387901909545
2010,0.07468338215067849
2011,0.11011000369717912
2012,0.2205887605489227
2013,0.32746996146209106
2014,0.2702332425927633
